instance_id,onnx,vnnlib,timeout,result,domains_visited,bab_time,all_time,init_unstable,lb_len,lb_num_finite,lb_min_finite,lb_argmin_finite,lb_any_neg_finite,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
3,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1747028827667236,103.72677755355836,2860,98,0,,,False,resnet_large__label_10__idx_7516,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276004433631896,"[0, 0, 30, 31]",2025,1047,3072,65.91796875,random
6,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.3258180618286133,36.84162187576294,2871,98,0,,,False,resnet_large__label_10__idx_8477,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9435863494873048,"[1, 0, 29, 30]",2124,948,3072,69.140625,random
9,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.2514615058898926,20.66419243812561,2155,96,0,,,False,resnet_large__label_11__idx_3469,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863366603851318,"[0, 0, 31, 31]",1884,1188,3072,61.328125,random
12,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,4.76019287109375,0,0,0,,,False,resnet_large__label_12__idx_6868,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.3810205161571502,"[0, 0, 31, 31]",2751,321,3072,89.55078125,random
15,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_8525_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.1522057056427002,14.957812786102297,1941,98,0,,,False,resnet_large__label_12__idx_8525,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7199544906616211,"[0, 0, 31, 31]",2511,561,3072,81.73828125,random
18,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_13__idx_803_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.939840078353882,0,0,0,,,False,resnet_large__label_13__idx_803,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.5976900458335876,"[0, 0, 30, 30]",2391,681,3072,77.83203125,random
21,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_17__idx_8201_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.7124440670013428,0,0,0,,,False,resnet_large__label_17__idx_8201,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.6053103804588318,"[0, 0, 31, 31]",2451,621,3072,79.78515625,random
24,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_1992_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1676955223083496,105.6512415409088,4039,98,0,,,False,resnet_large__label_18__idx_1992,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.4473128318786621,"[0, 0, 31, 31]",3039,33,3072,98.92578125,random
27,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_5863_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1523597240447998,101.06558656692503,2472,98,0,,,False,resnet_large__label_18__idx_5863,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.8389680981636047,"[0, 0, 31, 31]",2697,375,3072,87.79296875,random
30,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_75_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.3102226257324219,107.18111157417296,3147,98,0,,,False,resnet_large__label_18__idx_75,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9115676879882812,"[0, 0, 31, 31]",3027,45,3072,98.53515625,random
