instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
1,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k50176_eps_0.0002.vnnlib,1200,timeout False,-95439.921875,3.0,3557.9462890625,3602.341367483139,0,n01443537_goldfish,global,-1,50176,0.0002,vgg16-7,True,,,150528,0,150528,100.0,random
2,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_fix_mask_seg0_k50176_eps_0.0002.vnnlib,1200,unsat False,1.7867681980133057,0.0,630.519279718399,679.2851779460907,0,n01443537_goldfish,fix_mask,0,50176,0.0002,vgg16-7,False,0.8230907320976257,"[0, 1, 223, 222]",28149,122379,150528,18.70017538265306,random
3,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_fix_nonmask_seg0_k50176_eps_0.0002.vnnlib,1200,timeout False,-2796.38037109375,3.0,2852.77157831192,2898.7975897789,0,n01443537_goldfish,fix_nonmask,0,50176,0.0002,vgg16-7,False,0.8230907320976257,"[0, 1, 223, 222]",122379,28149,150528,81.29982461734694,random
4,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k50176_eps_0.0003.vnnlib,1200,timeout False,-13289175.0,3.0,4335.802865743637,4387.869834423065,0,n01443537_goldfish,global,-1,50176,0.0003,vgg16-7,True,,,150528,0,150528,100.0,random
5,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_fix_mask_seg0_k50176_eps_0.0003.vnnlib,1200,unsat False,1.6805132627487185,0.0,644.8720262050629,691.0250225067139,0,n01443537_goldfish,fix_mask,0,50176,0.0003,vgg16-7,False,0.8230907320976257,"[0, 1, 223, 222]",28149,122379,150528,18.70017538265306,random
6,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_fix_nonmask_seg0_k50176_eps_0.0003.vnnlib,1200,timeout False,-867758.0,3.0,3999.7152004241943,4043.283903121948,0,n01443537_goldfish,fix_nonmask,0,50176,0.0003,vgg16-7,False,0.8230907320976257,"[0, 1, 223, 222]",122379,28149,150528,81.29982461734694,random
7,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k50176_eps_0.0002.vnnlib,1200,sat True,,,,36.96867871284485,0,n01484850_great_white_shark,global,-1,50176,0.0002,vgg16-7,True,,,150528,0,150528,100.0,random
8,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_fix_mask_seg0_k50176_eps_0.0002.vnnlib,1200,sat True,,,,39.63700747489929,0,n01484850_great_white_shark,fix_mask,0,50176,0.0002,vgg16-7,False,0.9039137363433838,"[0, 0, 223, 223]",14712,135816,150528,9.77359693877551,random
9,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_fix_nonmask_seg0_k50176_eps_0.0002.vnnlib,1200,sat True,,,,36.76482343673706,0,n01484850_great_white_shark,fix_nonmask,0,50176,0.0002,vgg16-7,False,0.9039137363433838,"[0, 0, 223, 223]",135816,14712,150528,90.22640306122447,random
10,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k50176_eps_0.0003.vnnlib,1200,sat True,,,,36.703927755355835,0,n01484850_great_white_shark,global,-1,50176,0.0003,vgg16-7,True,,,150528,0,150528,100.0,random
