image,synset,archive_exists,archive_path,xml_count,sample_annotations
n01443537_goldfish,n01443537,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01443537.tar.gz,0,
n01484850_great_white_shark,n01484850,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01484850.tar.gz,0,
n01491361_tiger_shark,n01491361,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01491361.tar.gz,0,
n01496331_electric_ray,n01496331,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01496331.tar.gz,0,
n01514668_cock,n01514668,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01514668.tar.gz,0,
n01514859_hen,n01514859,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01514859.tar.gz,0,
n01518878_ostrich,n01518878,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01518878.tar.gz,0,
n01530575_brambling,n01530575,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01530575.tar.gz,0,
n01531178_goldfinch,n01531178,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01531178.tar.gz,0,
n01532829_house_finch,n01532829,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01532829.tar.gz,0,
n01534433_junco,n01534433,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01534433.tar.gz,0,
n01537544_indigo_bunting,n01537544,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01537544.tar.gz,0,
n01558993_robin,n01558993,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01558993.tar.gz,0,
n01560419_bulbul,n01560419,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01560419.tar.gz,0,
n01580077_jay,n01580077,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01580077.tar.gz,0,
n01582220_magpie,n01582220,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01582220.tar.gz,0,
n01592084_chickadee,n01592084,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01592084.tar.gz,0,
n01601694_water_ouzel,n01601694,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01601694.tar.gz,0,
n01614925_bald_eagle,n01614925,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01614925.tar.gz,0,
n01622779_great_grey_owl,n01622779,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01622779.tar.gz,0,
n01629819_European_fire_salamander,n01629819,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01629819.tar.gz,0,
n01631663_eft,n01631663,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01631663.tar.gz,0,
n01632458_spotted_salamander,n01632458,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01632458.tar.gz,0,
