instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
6,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k1568_eps_0.0001.vnnlib,1200,unsat False,1.8318383693695068,0.0,573.0279188156128,579.169224023819,0.0,n01443537_goldfish,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
12,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,unsat False,1.8330774307250977,0.0,583.5873215198517,588.6523382663727,0.0,n01443537_goldfish,fix_mask,0,1568,0.0001,vgg16-7,False,0.8230918645858765,"[0, 1, 223, 222]",4704,145824,150528,3.125,random
18,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,unsat False,1.8321853876113887,0.0,579.4655191898346,584.483362197876,0.0,n01443537_goldfish,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.8230918645858765,"[0, 1, 223, 222]",4704,145824,150528,3.125,random
24,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.6820125579833984,6.717511415481567,0.0,n01484850_great_white_shark,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
30,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.7406189441680908,6.98491096496582,0.0,n01484850_great_white_shark,fix_mask,0,1568,0.0001,vgg16-7,False,0.903913676738739,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
36,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.2874877452850342,6.459707498550415,0.0,n01484850_great_white_shark,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.903913676738739,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
42,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k1568_eps_0.0001.vnnlib,1200,unsat False,0.5633188486099243,0.0,601.6587500572205,606.7666845321655,0.0,n01491361_tiger_shark,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
48,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,unsat False,0.5647774934768677,0.0,495.4242458343506,500.6145377159119,0.0,n01491361_tiger_shark,fix_mask,0,1568,0.0001,vgg16-7,False,0.9602170586586,"[0, 0, 223, 223]",3693,146835,150528,2.4533641581632653,random
54,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,unsat False,0.5633621215820312,0.0,638.23974609375,643.3086216449738,0.0,n01491361_tiger_shark,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.9602170586586,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
60,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k1568_eps_0.0001.vnnlib,1200,unsat False,0.0924932807683944,0.0,637.2061235904694,642.4873802661896,0.0,n01496331_electric_ray,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
66,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,unsat False,0.0936664789915084,0.0,598.3625972270966,603.5693447589874,0.0,n01496331_electric_ray,fix_mask,0,1568,0.0001,vgg16-7,False,0.9159132838249208,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
72,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,unsat False,0.09256312251091,0.0,641.4167907238007,646.6449856758118,0.0,n01496331_electric_ray,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.9159132838249208,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
78,onnx/vgg16-7.onnx,vnnlib/n01514668_cock_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.7481260299682615,7.000754833221436,0.0,n01514668_cock,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
84,onnx/vgg16-7.onnx,vnnlib/n01514668_cock_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,2.074924230575561,7.265196561813354,0.0,n01514668_cock,fix_mask,0,1568,0.0001,vgg16-7,False,0.9203580617904664,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
90,onnx/vgg16-7.onnx,vnnlib/n01514668_cock_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.2544667720794678,6.520087003707886,0.0,n01514668_cock,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.9203580617904664,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
96,onnx/vgg16-7.onnx,vnnlib/n01514859_hen_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.738327980041504,6.842462062835693,0.0,n01514859_hen,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
102,onnx/vgg16-7.onnx,vnnlib/n01514859_hen_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.906538009643555,6.9116504192352295,0.0,n01514859_hen,fix_mask,0,1568,0.0001,vgg16-7,False,0.7729083895683289,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
108,onnx/vgg16-7.onnx,vnnlib/n01514859_hen_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.4505677223205566,6.655939817428589,0.0,n01514859_hen,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.7729083895683289,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
114,onnx/vgg16-7.onnx,vnnlib/n01518878_ostrich_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,2.791776895523072,8.001070261001587,0.0,n01518878_ostrich,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
120,onnx/vgg16-7.onnx,vnnlib/n01518878_ostrich_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.810232162475586,7.003755807876587,0.0,n01518878_ostrich,fix_mask,0,1568,0.0001,vgg16-7,False,0.9037340879440308,"[0, 0, 223, 222]",4704,145824,150528,3.125,random
126,onnx/vgg16-7.onnx,vnnlib/n01518878_ostrich_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.2871761322021484,6.444829940795898,0.0,n01518878_ostrich,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.9037340879440308,"[0, 0, 223, 222]",4704,145824,150528,3.125,random
132,onnx/vgg16-7.onnx,vnnlib/n01530575_brambling_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.804393529891968,7.106373310089111,0.0,n01530575_brambling,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
138,onnx/vgg16-7.onnx,vnnlib/n01530575_brambling_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.7239816188812256,6.94473934173584,0.0,n01530575_brambling,fix_mask,0,1568,0.0001,vgg16-7,False,0.811788022518158,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
