transition,image,eps,k,Global_tag,Object_tag,Background_tag,Global_lb_minus_rhs,Object_lb_minus_rhs,Background_lb_minus_rhs,Global_X,Object_X,Background_X,Global_bnb,Object_bnb,Background_bnb
Safe → Safe,n02100583_vizsla,0.0001,50176.0,n02100583_vizsla_global,n02100583_vizsla_seg0_fixnonmask,n02100583_vizsla_seg0_fixmask,0.0545872449874877,0.2127289175987243,0.2158523499965667,Safe,Safe,Safe,False,False,False
Safe → Safe,n02930766_cab,0.0001,50176.0,n02930766_cab_global,n02930766_cab_seg0_fixnonmask,n02930766_cab_seg0_fixmask,0.1398811787366867,0.5210269093513489,0.5843344330787659,Safe,Safe,Safe,False,False,False
Safe → Safe,n02110627_affenpinscher,0.0001,50176.0,n02110627_affenpinscher_global,n02110627_affenpinscher_seg0_fixnonmask,n02110627_affenpinscher_seg0_fixmask,0.3187037706375122,0.6777253746986389,0.7160714864730835,Safe,Safe,Safe,False,False,False
Safe → Safe,n02088238_basset,0.0001,50176.0,n02088238_basset_global,n02088238_basset_seg0_fixnonmask,n02088238_basset_seg0_fixmask,0.3455032706260681,0.4797242283821106,0.4883005321025848,Safe,Safe,Safe,False,False,False
Safe → Safe,n02667093_abaya,0.0001,50176.0,n02667093_abaya_global,n02667093_abaya_seg0_fixnonmask,n02667093_abaya_seg0_fixmask,0.4716228544712066,0.8406766057014465,0.8659069538116455,Safe,Safe,Safe,False,False,False
Safe → Safe,n07730033_cardoon,0.0001,50176.0,n07730033_cardoon_global,n07730033_cardoon_seg0_fixnonmask,n07730033_cardoon_seg0_fixmask,0.4979511499404907,1.8334660530090332,1.8966970443725584,Safe,Safe,Safe,False,False,False
Safe → Safe,n02500267_indri,0.0001,50176.0,n02500267_indri_global,n02500267_indri_seg0_fixnonmask,n02500267_indri_seg0_fixmask,0.5007297396659851,0.7435163855552673,0.7304832935333252,Safe,Safe,Safe,False,False,False
Safe → Safe,n01943899_conch,0.0001,50176.0,n01943899_conch_global,n01943899_conch_seg0_fixnonmask,n01943899_conch_seg0_fixmask,0.5400180220603943,1.0759748220443726,1.2825570106506348,Safe,Safe,Safe,False,False,False
Safe → Safe,n02892767_brassiere,0.0001,50176.0,n02892767_brassiere_global,n02892767_brassiere_seg0_fixnonmask,n02892767_brassiere_seg0_fixmask,0.5882322788238525,0.9164380431175232,0.993475079536438,Safe,Safe,Safe,False,False,False
Safe → Safe,n02096051_Airedale,0.0001,50176.0,n02096051_Airedale_global,n02096051_Airedale_seg0_fixnonmask,n02096051_Airedale_seg0_fixmask,0.6080179810523987,0.6962660551071167,0.7029501795768738,Safe,Safe,Safe,False,False,False
Safe → Safe,n02088364_beagle,0.0001,50176.0,n02088364_beagle_global,n02088364_beagle_seg0_fixnonmask,n02088364_beagle_seg0_fixmask,0.9371440410614014,1.0292844772338867,1.1061190366744995,Safe,Safe,Safe,False,False,False
Safe → Safe,n03126707_crane,0.0001,50176.0,n03126707_crane_global,n03126707_crane_seg0_fixnonmask,n03126707_crane_seg0_fixmask,1.0368850231170654,1.2342795133590698,1.3562099933624268,Safe,Safe,Safe,False,False,False
Safe → Safe,n01944390_snail,0.0001,50176.0,n01944390_snail_global,n01944390_snail_seg0_fixnonmask,n01944390_snail_seg0_fixmask,1.1211798191070557,1.37520432472229,1.6423637866973877,Safe,Safe,Safe,False,False,False
Safe → Safe,n02085620_Chihuahua,0.0001,50176.0,n02085620_Chihuahua_global,n02085620_Chihuahua_seg0_fixnonmask,n02085620_Chihuahua_seg0_fixmask,1.29932963848114,2.2254199981689453,2.1715846061706543,Safe,Safe,Safe,False,False,False
Safe → Safe,n02104365_schipperke,0.0001,50176.0,n02104365_schipperke_global,n02104365_schipperke_seg0_fixnonmask,n02104365_schipperke_seg0_fixmask,1.4081518650054932,1.514781475067139,1.5331437587738037,Safe,Safe,Safe,False,False,False
Safe → Safe,n04376876_syringe,0.0001,50176.0,n04376876_syringe_global,n04376876_syringe_seg0_fixnonmask,n04376876_syringe_seg0_fixmask,1.482917547225952,1.7224280834197998,1.739445686340332,Safe,Safe,Safe,False,False,False
Unknown (BnB) → Safe,n02443114_polecat,0.0001,50176.0,n02443114_polecat_global,n02443114_polecat_seg0_fixnonmask,n02443114_polecat_seg0_fixmask,-6431.99853515625,0.1244946271181106,0.2092493921518325,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n04009552_projector,0.0001,50176.0,n04009552_projector_global,n04009552_projector_seg0_fixnonmask,n04009552_projector_seg0_fixmask,-4989.67822265625,-423.15435791015625,1.9487965106964111,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02129165_lion,0.0001,50176.0,n02129165_lion_global,n02129165_lion_seg0_fixnonmask,n02129165_lion_seg0_fixmask,-2093.24658203125,-752.9635009765625,0.7555015087127686,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02110063_malamute,0.0001,50176.0,n02110063_malamute_global,n02110063_malamute_seg0_fixnonmask,n02110063_malamute_seg0_fixmask,-914.8093872070312,-318.3642272949219,0.0392239391803741,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n04026417_purse,0.0001,50176.0,n04026417_purse_global,n04026417_purse_seg0_fixnonmask,n04026417_purse_seg0_fixmask,-680.5715942382812,-1.2490613460540771,0.1613581180572509,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n04389033_tank,0.0001,50176.0,n04389033_tank_global,n04389033_tank_seg0_fixnonmask,n04389033_tank_seg0_fixmask,-626.4382934570312,0.3901703357696533,0.4413527846336365,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02906734_broom,0.0001,50176.0,n02906734_broom_global,n02906734_broom_seg0_fixnonmask,n02906734_broom_seg0_fixmask,-368.8399353027344,0.5337380766868591,1.1137423515319824,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02011460_bittern,0.0001,50176.0,n02011460_bittern_global,n02011460_bittern_seg0_fixnonmask,n02011460_bittern_seg0_fixmask,-234.9834899902344,-94.81439971923828,1.8324534893035889,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n04033901_quill,0.0001,50176.0,n04033901_quill_global,n04033901_quill_seg0_fixnonmask,n04033901_quill_seg0_fixmask,-218.00762939453125,-167.0196990966797,0.0725980401039123,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02415577_bighorn,0.0001,50176.0,n02415577_bighorn_global,n02415577_bighorn_seg0_fixnonmask,n02415577_bighorn_seg0_fixmask,-168.79290771484375,-7.7461838722229,0.9457647204399108,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02088466_bloodhound,0.0001,50176.0,n02088466_bloodhound_global,n02088466_bloodhound_seg0_fixnonmask,n02088466_bloodhound_seg0_fixmask,-165.3851776123047,0.8270418047904968,0.7576167583465576,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02086079_Pekinese,0.0001,50176.0,n02086079_Pekinese_global,n02086079_Pekinese_seg0_fixnonmask,n02086079_Pekinese_seg0_fixmask,-152.58961486816406,-51.61612701416016,0.4167237281799316,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02264363_lacewing,0.0001,50176.0,n02264363_lacewing_global,n02264363_lacewing_seg0_fixnonmask,n02264363_lacewing_seg0_fixmask,-127.23059844970705,-4.836242198944092,2.0689001083374023,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02843684_birdhouse,0.0001,50176.0,n02843684_birdhouse_global,n02843684_birdhouse_seg0_fixnonmask,n02843684_birdhouse_seg0_fixmask,-114.86611938476562,0.1220003962516784,0.088566780090332,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02950826_cannon,0.0001,50176.0,n02950826_cannon_global,n02950826_cannon_seg0_fixnonmask,n02950826_cannon_seg0_fixmask,-105.61298370361328,,0.059220403432846,Unknown (BnB),Unknown (no BnB),Safe,True,False,False
Unknown (BnB) → Safe,n02859443_boathouse,0.0001,50176.0,n02859443_boathouse_global,n02859443_boathouse_seg0_fixnonmask,n02859443_boathouse_seg0_fixmask,-100.02788543701172,2.388875722885132,2.42460560798645,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02799071_baseball,0.0001,50176.0,n02799071_baseball_global,n02799071_baseball_seg0_fixnonmask,n02799071_baseball_seg0_fixmask,-95.0794906616211,1.0776524543762207,1.2026475667953491,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n03220513_dome,0.0001,50176.0,n03220513_dome_global,n03220513_dome_seg0_fixnonmask,n03220513_dome_seg0_fixmask,-92.60266876220705,-1.983386754989624,0.417193591594696,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02256656_cicada,0.0001,50176.0,n02256656_cicada_global,n02256656_cicada_seg0_fixnonmask,n02256656_cicada_seg0_fixmask,-87.22295379638672,0.3306716084480285,0.6076661348342896,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n01955084_chiton,0.0001,50176.0,n01955084_chiton_global,n01955084_chiton_seg0_fixnonmask,n01955084_chiton_seg0_fixmask,-80.90962219238281,-23.632986068725582,0.6241345405578613,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02219486_ant,0.0001,50176.0,n02219486_ant_global,n02219486_ant_seg0_fixnonmask,n02219486_ant_seg0_fixmask,-78.77165985107422,0.2342636883258819,0.8306871652603149,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02445715_skunk,0.0001,50176.0,n02445715_skunk_global,n02445715_skunk_seg0_fixnonmask,n02445715_skunk_seg0_fixmask,-69.07341766357422,-12.58599090576172,0.6352419257164001,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02895154_breastplate,0.0001,50176.0,n02895154_breastplate_global,n02895154_breastplate_seg0_fixnonmask,n02895154_breastplate_seg0_fixmask,-68.63072204589844,-0.2125722169876098,0.8618357181549072,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02363005_beaver,0.0001,50176.0,n02363005_beaver_global,n02363005_beaver_seg0_fixnonmask,n02363005_beaver_seg0_fixmask,-66.33112335205078,0.7228014469146729,0.989180862903595,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02108000_EntleBucher,0.0001,50176.0,n02108000_EntleBucher_global,n02108000_EntleBucher_seg0_fixnonmask,n02108000_EntleBucher_seg0_fixmask,-63.866153717041016,-1.6882416009902954,0.1031165122985839,Unknown (BnB),Unknown (BnB),Safe,True,True,False
Unknown (BnB) → Safe,n02090379_redbone,0.0001,50176.0,n02090379_redbone_global,n02090379_redbone_seg0_fixnonmask,n02090379_redbone_seg0_fixmask,-53.300045013427734,0.950889527797699,1.0211154222488403,Unknown (BnB),Safe,Safe,True,False,False
Unknown (BnB) → Safe,n02804414_bassinet,0.0001,50176.0,n02804414_bassinet_global,n02804414_bassinet_seg0_fixnonmask,n02804414_bassinet_seg0_fixmask,-43.46858978271485,0.4937434494495392,0.5848885774612427,Unknown (BnB),Safe,Safe,True,False,False
