image,imagenet_id,segment_index,tag,mask_path,resolved_mask_path,status,r,lambda,c,outer_frac,flip_score,is_flipped,decision_rule
n01443537_goldfish,1,0,fix_mask,property_masks/n01443537_goldfish_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01443537_goldfish_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1870017538265306,0.734626452094213,0.2509858254289673,0.4530533944367473,-0.11537354790578702,False,default
n01484850_great_white_shark,2,0,fix_mask,property_masks/n01484850_great_white_shark_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01484850_great_white_shark_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0977359693877551,0.6117455138662317,0.07259380097879282,0.8715334420880914,0.16022244208809133,True,outer_band_dominant
n01491361_tiger_shark,3,0,fix_mask,property_masks/n01491361_tiger_shark_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01491361_tiger_shark_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0245336415816326,0.3704305442729488,0.7806661251015434,0.11291632818846466,-0.3773713584183674,False,small_mask_guard
n01496331_electric_ray,5,0,fix_mask,property_masks/n01496331_electric_ray_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01496331_electric_ray_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0638552295918367,0.33052434456928836,0.02278401997503121,0.9179151061173533,0.20660410611735325,False,small_mask_guard
n01514668_cock,7,0,fix_mask,property_masks/n01514668_cock_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01514668_cock_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0552056760204081,0.24981949458483754,0.4389891696750903,0.24332129963898916,-0.3466993239795919,False,small_mask_guard
n01514859_hen,8,0,fix_mask,property_masks/n01514859_hen_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01514859_hen_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.3617466517857143,0.5318164288468955,0.12148091014269186,0.6438763704479092,-0.04015834821428571,False,default
n01518878_ostrich,9,0,fix_mask,property_masks/n01518878_ostrich_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01518878_ostrich_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1711375956632653,0.8865727262140445,0.44800279492255735,0.35111214626761383,-0.12886240433673468,False,default
n01530575_brambling,10,0,fix_mask,property_masks/n01530575_brambling_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01530575_brambling_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1125837053571428,0.3552841210833776,0.30412462382722605,0.44326429456540983,-0.2680467054345902,False,default
n02033041_dowitcher,142,0,fix_mask,property_masks/n02033041_dowitcher_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02033041_dowitcher_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1229272959183673,0.6467250324254216,0.643644617380026,0.27675097276264593,-0.15327496757457848,False,default
n01742172_boa_constrictor,61,0,fix_mask,property_masks/n01742172_boa_constrictor_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01742172_boa_constrictor_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1983219068877551,0.45925032660034165,0.11767661541553613,0.7470605969249322,0.03574959692493218,True,outer_band_dominant
n01744401_rock_python,62,0,fix_mask,property_masks/n01744401_rock_python_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01744401_rock_python_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.4960339604591837,0.2980031339145807,0.13576278677327333,0.5418457953312709,0.09412896045918367,True,large_mask_ratio
n01748264_Indian_cobra,63,0,fix_mask,property_masks/n01748264_Indian_cobra_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01748264_Indian_cobra_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1277901785714285,0.4650655021834061,0.0031191515907673115,0.9148471615720524,0.20353616157205234,True,outer_band_dominant
n01755581_diamondback,67,0,fix_mask,property_masks/n01755581_diamondback_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01755581_diamondback_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1075613839285714,0.4561793589030943,0.06614785992217899,0.849360755975542,0.13804975597554192,True,outer_band_dominant
n01756291_sidewinder,68,0,fix_mask,property_masks/n01756291_sidewinder_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01756291_sidewinder_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.220962213010204,0.2278344006494092,0.015874447551186072,0.7804636060250744,0.06915260602507434,True,outer_band_dominant
n01768244_trilobite,69,0,fix_mask,property_masks/n01768244_trilobite_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01768244_trilobite_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0423708545918367,0.05456255879586077,0.19002822201317027,0.39040451552210725,-0.17566822201317026,False,small_mask_guard
n01770081_harvestman,70,0,fix_mask,property_masks/n01770081_harvestman_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01770081_harvestman_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1191007653061224,0.3309906291834003,0.2605421686746988,0.571285140562249,-0.14002585943775103,False,default
n01704323_triceratops,51,0,fix_mask,property_masks/n01704323_triceratops_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01704323_triceratops_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0251116071428571,0.11587301587301588,0.4523809523809524,0.38571428571428573,-0.3255967142857143,False,small_mask_guard
n01728920_ringneck_snake,53,0,fix_mask,property_masks/n01728920_ringneck_snake_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01728920_ringneck_snake_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.4682118941326531,0.39799089090367346,0.27897671646873534,0.5047460945813647,0.06630689413265306,True,large_mask_ratio
