image,model,property,tag,is_global,segment_index,eps,k,top1_label,top1_score,segment_score,bbox,mask_path,mask_height,mask_width,mask_true_pixels,mask_total_pixels,mask_true_fraction,mask_fraction,nonmask_fraction,chosen_mask,is_fix_mask_flipped
n01440764_tench,vgg16-7,n01440764_tench_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,0,0.9987097404793092,,,property_masks/n01440764_tench_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
n01440764_tench,vgg16-7,n01440764_tench_fix_mask_seg0_k50176_eps_0.0001,fix_mask,False,0,0.0001,50176,0,0.9987097404793092,0.9453006982803344,"[0, 0, 223, 223]",property_masks/n01440764_tench_fix_mask_seg0_k50176_eps_0.0001.npz,224,224,1482,50176,0.0295360331632653,0.0295360331632653,0.9704639668367347,fix_mask,False
n01440764_tench,vgg16-7,n01440764_tench_fix_nonmask_seg0_k50176_eps_0.0001,fix_nonmask,False,0,0.0001,50176,0,0.9987097404793092,0.9453006982803344,"[0, 0, 223, 223]",property_masks/n01440764_tench_fix_nonmask_seg0_k50176_eps_0.0001.npz,224,224,48694,50176,0.9704639668367347,0.0295360331632653,0.9704639668367347,fix_mask,False
n01443537_goldfish,vgg16-7,n01443537_goldfish_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,1,0.9998546467737124,,,property_masks/n01443537_goldfish_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
n01443537_goldfish,vgg16-7,n01443537_goldfish_fix_mask_seg0_k50176_eps_0.0001,fix_mask,False,0,0.0001,50176,1,0.9998546467737124,0.8230918645858765,"[0, 1, 223, 222]",property_masks/n01443537_goldfish_fix_mask_seg0_k50176_eps_0.0001.npz,224,224,9383,50176,0.1870017538265306,0.1870017538265306,0.8129982461734694,fix_mask,False
n01443537_goldfish,vgg16-7,n01443537_goldfish_fix_nonmask_seg0_k50176_eps_0.0001,fix_nonmask,False,0,0.0001,50176,1,0.9998546467737124,0.8230918645858765,"[0, 1, 223, 222]",property_masks/n01443537_goldfish_fix_nonmask_seg0_k50176_eps_0.0001.npz,224,224,40793,50176,0.8129982461734694,0.1870017538265306,0.8129982461734694,fix_mask,False
n01484850_great_white_shark,vgg16-7,n01484850_great_white_shark_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,2,0.9039950607475334,,,property_masks/n01484850_great_white_shark_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
n01484850_great_white_shark,vgg16-7,n01484850_great_white_shark_fix_mask_seg0_k50176_eps_0.0001,fix_mask,False,0,0.0001,50176,2,0.9039950607475334,0.903913676738739,"[0, 0, 223, 223]",property_masks/n01484850_great_white_shark_fix_mask_seg0_k50176_eps_0.0001.npz,224,224,4904,50176,0.0977359693877551,0.0977359693877551,0.9022640306122448,fix_mask,False
n01484850_great_white_shark,vgg16-7,n01484850_great_white_shark_fix_nonmask_seg0_k50176_eps_0.0001,fix_nonmask,False,0,0.0001,50176,2,0.9039950607475334,0.903913676738739,"[0, 0, 223, 223]",property_masks/n01484850_great_white_shark_fix_nonmask_seg0_k50176_eps_0.0001.npz,224,224,45272,50176,0.9022640306122448,0.0977359693877551,0.9022640306122448,fix_mask,False
n01491361_tiger_shark,vgg16-7,n01491361_tiger_shark_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,3,0.9986980180285826,,,property_masks/n01491361_tiger_shark_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
n01491361_tiger_shark,vgg16-7,n01491361_tiger_shark_fix_mask_seg0_k50176_eps_0.0001,fix_mask,False,0,0.0001,50176,3,0.9986980180285826,0.9602170586586,"[0, 0, 223, 223]",property_masks/n01491361_tiger_shark_fix_mask_seg0_k50176_eps_0.0001.npz,224,224,1231,50176,0.0245336415816326,0.0245336415816326,0.9754663584183674,fix_mask,False
n01491361_tiger_shark,vgg16-7,n01491361_tiger_shark_fix_nonmask_seg0_k50176_eps_0.0001,fix_nonmask,False,0,0.0001,50176,3,0.9986980180285826,0.9602170586586,"[0, 0, 223, 223]",property_masks/n01491361_tiger_shark_fix_nonmask_seg0_k50176_eps_0.0001.npz,224,224,48945,50176,0.9754663584183674,0.0245336415816326,0.9754663584183674,fix_mask,False
n01496331_electric_ray,vgg16-7,n01496331_electric_ray_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,5,0.9985463801582372,,,property_masks/n01496331_electric_ray_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
n01496331_electric_ray,vgg16-7,n01496331_electric_ray_fix_mask_seg0_k50176_eps_0.0001,fix_mask,False,0,0.0001,50176,5,0.9985463801582372,0.9159132838249208,"[0, 0, 223, 223]",property_masks/n01496331_electric_ray_fix_mask_seg0_k50176_eps_0.0001.npz,224,224,3204,50176,0.0638552295918367,0.0638552295918367,0.9361447704081632,fix_mask,False
n01496331_electric_ray,vgg16-7,n01496331_electric_ray_fix_nonmask_seg0_k50176_eps_0.0001,fix_nonmask,False,0,0.0001,50176,5,0.9985463801582372,0.9159132838249208,"[0, 0, 223, 223]",property_masks/n01496331_electric_ray_fix_nonmask_seg0_k50176_eps_0.0001.npz,224,224,46972,50176,0.9361447704081632,0.0638552295918367,0.9361447704081632,fix_mask,False
n01514668_cock,vgg16-7,n01514668_cock_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,7,0.7720454133319683,,,property_masks/n01514668_cock_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
n01514668_cock,vgg16-7,n01514668_cock_fix_mask_seg0_k50176_eps_0.0001,fix_mask,False,0,0.0001,50176,7,0.7720454133319683,0.9203580617904664,"[0, 0, 223, 223]",property_masks/n01514668_cock_fix_mask_seg0_k50176_eps_0.0001.npz,224,224,2770,50176,0.0552056760204081,0.0552056760204081,0.9447943239795918,fix_mask,False
n01514668_cock,vgg16-7,n01514668_cock_fix_nonmask_seg0_k50176_eps_0.0001,fix_nonmask,False,0,0.0001,50176,7,0.7720454133319683,0.9203580617904664,"[0, 0, 223, 223]",property_masks/n01514668_cock_fix_nonmask_seg0_k50176_eps_0.0001.npz,224,224,47406,50176,0.9447943239795918,0.0552056760204081,0.9447943239795918,fix_mask,False
n01514859_hen,vgg16-7,n01514859_hen_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,8,0.7235802115728204,,,property_masks/n01514859_hen_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
n01514859_hen,vgg16-7,n01514859_hen_fix_mask_seg0_k50176_eps_0.0001,fix_mask,False,0,0.0001,50176,8,0.7235802115728204,0.7729083895683289,"[0, 0, 223, 223]",property_masks/n01514859_hen_fix_mask_seg0_k50176_eps_0.0001.npz,224,224,18151,50176,0.3617466517857143,0.3617466517857143,0.6382533482142857,fix_mask,False
n01514859_hen,vgg16-7,n01514859_hen_fix_nonmask_seg0_k50176_eps_0.0001,fix_nonmask,False,0,0.0001,50176,8,0.7235802115728204,0.7729083895683289,"[0, 0, 223, 223]",property_masks/n01514859_hen_fix_nonmask_seg0_k50176_eps_0.0001.npz,224,224,32025,50176,0.6382533482142857,0.3617466517857143,0.6382533482142857,fix_mask,False
n01518878_ostrich,vgg16-7,n01518878_ostrich_global_k50176_eps_0.0001,global,True,-1,0.0001,50176,9,0.9999937386527934,,,property_masks/n01518878_ostrich_global_k50176_eps_0.0001.npz,224,224,50176,50176,1.0,,,,
