instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,segment_index,pattern,k,eps_res,tag,is_global,eps,score,bbox,num_changed,num_fixed,total,percent_changed
19,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k784_eps_0.0002.vnnlib,1200.0,timeout False,-0.1494644880294799,3.0,1815.2653546333313,1824.1724021434784,0.0,n01531178_goldfinch,-1.0,global,784.0,0.0002,n01531178_goldfinch_global,True,0.0002,,,2352.0,148176.0,150528.0,1.5625
63,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k784_eps_0.0002.vnnlib,1200.0,timeout False,-0.1479523777961731,3.0,1818.5259132385256,1827.0592324733736,0.0,n01531178_goldfinch,0.0,fix_mask,784.0,0.0002,n01531178_goldfinch_seg0_fixmask,False,0.0002,0.889735996723175,"[0, 0, 223, 223]",528.0,150000.0,150528.0,0.350765306122449
107,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixnonmask_k784_eps_0.0002.vnnlib,1200.0,timeout False,-0.1489328145980835,3.0,1786.9987664222715,1866.8388996124268,0.0,n01531178_goldfinch,0.0,fix_nonmask,784.0,0.0002,n01531178_goldfinch_seg0_fixnonmask,False,0.0002,0.889735996723175,"[0, 0, 223, 223]",1824.0,148704.0,150528.0,1.211734693877551
283,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_global_k784_eps_0.0002.vnnlib,1200.0,unsat False,0.1280560195446014,0.0,612.0011286735535,740.9474768638611,0.0,n01534433_junco,-1.0,global,784.0,0.0002,n01534433_junco_global,True,0.0002,,,2352.0,148176.0,150528.0,1.5625
327,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_seg0_fixmask_k784_eps_0.0002.vnnlib,1200.0,unsat False,0.1285915672779083,0.0,622.4241752624512,695.7507152557373,0.0,n01534433_junco,0.0,fix_mask,784.0,0.0002,n01534433_junco_seg0_fixmask,False,0.0002,0.6341152787208557,"[0, 0, 223, 223]",1119.0,149409.0,150528.0,0.7433832908163265
371,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_seg0_fixnonmask_k784_eps_0.0002.vnnlib,1200.0,unsat False,0.1285360753536224,0.0,613.8607137203217,696.1721713542938,0.0,n01534433_junco,0.0,fix_nonmask,784.0,0.0002,n01534433_junco_seg0_fixnonmask,False,0.0002,0.6341152787208557,"[0, 0, 223, 223]",1233.0,149295.0,150528.0,0.8191167091836735
547,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k784_eps_0.0002.vnnlib,1200.0,unsat False,0.0491639375686645,0.0,590.7958655357361,692.9064421653748,0.0,n01558993_robin,-1.0,global,784.0,0.0002,n01558993_robin_global,True,0.0002,,,2352.0,148176.0,150528.0,1.5625
591,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_seg0_fixmask_k784_eps_0.0002.vnnlib,1200.0,unsat False,0.0501351952552795,0.0,593.4504160881042,704.6136076450348,0.0,n01558993_robin,0.0,fix_mask,784.0,0.0002,n01558993_robin_seg0_fixmask,False,0.0002,0.5386311411857605,"[0, 0, 223, 223]",1038.0,149490.0,150528.0,0.6895727040816326
635,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_seg0_fixnonmask_k784_eps_0.0002.vnnlib,1200.0,unsat False,0.0500684380531311,0.0,579.5680923461914,685.6280925273895,0.0,n01558993_robin,0.0,fix_nonmask,784.0,0.0002,n01558993_robin_seg0_fixnonmask,False,0.0002,0.5386311411857605,"[0, 0, 223, 223]",1314.0,149214.0,150528.0,0.8729272959183674
679,onnx/vgg16-7.onnx,vnnlib/n01560419_bulbul_global_k784_eps_0.0002.vnnlib,1200.0,unsat False,1.0519050359725952,0.0,543.7716262340546,625.8264548778534,0.0,n01560419_bulbul,-1.0,global,784.0,0.0002,n01560419_bulbul_global,True,0.0002,,,2352.0,148176.0,150528.0,1.5625
