instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,segment_index,pattern,k,eps_res,tag,is_global,eps,score,bbox,num_changed,num_fixed,total,percent_changed
31,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k12544_eps_0.0003.vnnlib,1200.0,sat True,,,,103.19839119911194,0.0,n01531178_goldfinch,-1.0,global,12544.0,0.0003,n01531178_goldfinch_global,True,0.0003,,,37632.0,112896.0,150528.0,25.0
75,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k12544_eps_0.0003.vnnlib,1200.0,timeout False,-0.163441777229309,3.0,2026.8482036590576,2035.544730424881,0.0,n01531178_goldfinch,0.0,fix_mask,12544.0,0.0003,n01531178_goldfinch_seg0_fixmask,False,0.0003,0.889735996723175,"[0, 0, 223, 223]",8463.0,142065.0,150528.0,5.622209821428571
119,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixnonmask_k12544_eps_0.0003.vnnlib,1200.0,sat True,,,,102.91695261001588,0.0,n01531178_goldfinch,0.0,fix_nonmask,12544.0,0.0003,n01531178_goldfinch_seg0_fixnonmask,False,0.0003,0.889735996723175,"[0, 0, 223, 223]",29169.0,121359.0,150528.0,19.377790178571427
295,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_global_k12544_eps_0.0003.vnnlib,1200.0,timeout False,-0.0283399224281311,3.0,2257.902441263199,2394.7282967567444,0.0,n01534433_junco,-1.0,global,12544.0,0.0003,n01534433_junco_global,True,0.0003,,,37632.0,112896.0,150528.0,25.0
339,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_seg0_fixmask_k12544_eps_0.0003.vnnlib,1200.0,unsat False,0.1075564920902252,0.0,711.6704246997833,832.2701790332794,0.0,n01534433_junco,0.0,fix_mask,12544.0,0.0003,n01534433_junco_seg0_fixmask,False,0.0003,0.6341152787208557,"[0, 0, 223, 223]",17910.0,132618.0,150528.0,11.89811862244898
383,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_seg0_fixnonmask_k12544_eps_0.0003.vnnlib,1200.0,unsat False,0.1044599413871765,0.0,709.6403617858887,824.8864150047302,0.0,n01534433_junco,0.0,fix_nonmask,12544.0,0.0003,n01534433_junco_seg0_fixnonmask,False,0.0003,0.6341152787208557,"[0, 0, 223, 223]",19722.0,130806.0,150528.0,13.10188137755102
559,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k12544_eps_0.0003.vnnlib,1200.0,timeout False,-2.831820011138916,3.0,2347.9702701568604,2465.394321680069,0.0,n01558993_robin,-1.0,global,12544.0,0.0003,n01558993_robin_global,True,0.0003,,,37632.0,112896.0,150528.0,25.0
603,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_seg0_fixmask_k12544_eps_0.0003.vnnlib,1200.0,unsat False,0.0126183032989501,0.0,702.7074449062347,820.1423795223236,0.0,n01558993_robin,0.0,fix_mask,12544.0,0.0003,n01558993_robin_seg0_fixmask,False,0.0003,0.5386311411857605,"[0, 0, 223, 223]",16614.0,133914.0,150528.0,11.037149234693878
647,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_seg0_fixnonmask_k12544_eps_0.0003.vnnlib,1200.0,timeout False,-0.0132203698158264,3.0,2094.542957544327,2220.295181274414,0.0,n01558993_robin,0.0,fix_nonmask,12544.0,0.0003,n01558993_robin_seg0_fixnonmask,False,0.0003,0.5386311411857605,"[0, 0, 223, 223]",21018.0,129510.0,150528.0,13.962850765306122
691,onnx/vgg16-7.onnx,vnnlib/n01560419_bulbul_global_k12544_eps_0.0003.vnnlib,1200.0,unsat False,0.9980265498161316,0.0,685.6085975170135,793.1922750473022,0.0,n01560419_bulbul,-1.0,global,12544.0,0.0003,n01560419_bulbul_global,True,0.0003,,,37632.0,112896.0,150528.0,25.0
