instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,segment_index,pattern,k,eps_res,tag,is_global,eps,score,bbox,num_changed,num_fixed,total,percent_changed
21,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k25088_eps_0.0002.vnnlib,1200.0,sat True,,,,9.908524990081789,0.0,n01531178_goldfinch,-1.0,global,25088.0,0.0002,n01531178_goldfinch_global,True,0.0002,,,75264.0,75264.0,150528.0,50.0
65,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k25088_eps_0.0002.vnnlib,1200.0,sat True,,,,119.31447219848631,0.0,n01531178_goldfinch,0.0,fix_mask,25088.0,0.0002,n01531178_goldfinch_seg0_fixmask,False,0.0002,0.889735996723175,"[0, 0, 223, 223]",16926.0,133602.0,150528.0,11.244419642857142
109,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixnonmask_k25088_eps_0.0002.vnnlib,1200.0,sat True,,,,9.72084927558899,0.0,n01531178_goldfinch,0.0,fix_nonmask,25088.0,0.0002,n01531178_goldfinch_seg0_fixnonmask,False,0.0002,0.889735996723175,"[0, 0, 223, 223]",58338.0,92190.0,150528.0,38.755580357142854
285,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_global_k25088_eps_0.0002.vnnlib,1200.0,timeout False,-1.4594051837921145,3.0,2377.9212715625763,2494.663134098053,0.0,n01534433_junco,-1.0,global,25088.0,0.0002,n01534433_junco_global,True,0.0002,,,75264.0,75264.0,150528.0,50.0
329,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_seg0_fixmask_k25088_eps_0.0002.vnnlib,1200.0,unsat False,0.0897499620914459,0.0,723.4840829372406,765.9622986316681,0.0,n01534433_junco,0.0,fix_mask,25088.0,0.0002,n01534433_junco_seg0_fixmask,False,0.0002,0.6341152787208557,"[0, 0, 223, 223]",35823.0,114705.0,150528.0,23.798230229591837
373,onnx/vgg16-7.onnx,vnnlib/n01534433_junco_seg0_fixnonmask_k25088_eps_0.0002.vnnlib,1200.0,unsat False,0.0835690796375274,0.0,741.9503235816956,781.6471431255341,0.0,n01534433_junco,0.0,fix_nonmask,25088.0,0.0002,n01534433_junco_seg0_fixnonmask,False,0.0002,0.6341152787208557,"[0, 0, 223, 223]",39441.0,111087.0,150528.0,26.201769770408163
549,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k25088_eps_0.0002.vnnlib,1200.0,sat True,,,,103.44379377365112,0.0,n01558993_robin,-1.0,global,25088.0,0.0002,n01558993_robin_global,True,0.0002,,,75264.0,75264.0,150528.0,50.0
593,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_seg0_fixmask_k25088_eps_0.0002.vnnlib,1200.0,timeout False,-0.0322177410125732,3.0,2128.974294424057,2232.17907166481,0.0,n01558993_robin,0.0,fix_mask,25088.0,0.0002,n01558993_robin_seg0_fixmask,False,0.0002,0.5386311411857605,"[0, 0, 223, 223]",33228.0,117300.0,150528.0,22.074298469387756
637,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_seg0_fixnonmask_k25088_eps_0.0002.vnnlib,1200.0,timeout False,-0.141736626625061,3.0,2154.999571800232,2267.8255615234375,0.0,n01558993_robin,0.0,fix_nonmask,25088.0,0.0002,n01558993_robin_seg0_fixnonmask,False,0.0002,0.5386311411857605,"[0, 0, 223, 223]",42036.0,108492.0,150528.0,27.925701530612244
681,onnx/vgg16-7.onnx,vnnlib/n01560419_bulbul_global_k25088_eps_0.0002.vnnlib,1200.0,unsat False,0.7969704866409302,0.0,736.2726767063141,866.1908423900604,0.0,n01560419_bulbul,-1.0,global,25088.0,0.0002,n01560419_bulbul_global,True,0.0002,,,75264.0,75264.0,150528.0,50.0
