image,seg_index,model,onnx,img_path,phi,yhat,L_global,L_global_src,global_result,L_global_imputed,L_object,L_object_src,object_result,L_object_imputed,L_background,L_background_src,background_result,L_background_imputed,Gamma,Gamma_defined
resnet_medium__label_25__idx_2893,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_25__idx_2893.png,2.8130645751953125,23,0.0,SAFE->0,unsat False,True,0.0637226104736328,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,-2.7493419647216797,True
resnet_medium__label_98__idx_40,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_98__idx_40.png,1.9016895294189453,79,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-1.9016895294189453,True
resnet_medium__label_5__idx_928,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_5__idx_928.png,1.5083260536193848,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-1.5083260536193848,True
resnet_large__label_29__idx_242,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_29__idx_242.png,1.341831922531128,99,0.1506123542785644,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-1.4924442768096924,True
resnet_medium__label_48__idx_8860,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_48__idx_8860.png,1.3071072101593018,23,0.1664910316467285,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-1.4735982418060303,True
resnet_medium__label_37__idx_6343,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_37__idx_6343.png,1.385955572128296,23,0.0869042873382568,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-1.4728598594665527,True
resnet_large__label_2__idx_972,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_2__idx_972.png,1.2420575618743896,99,0.1384229660034179,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-1.3804805278778076,True
resnet_medium__label_7__idx_1605,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_7__idx_1605.png,0.9531152248382568,99,0.2493829727172851,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat False,True,-1.202498197555542,True
resnet_large__label_50__idx_2762,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_50__idx_2762.png,1.1821041107177734,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-1.1821041107177734,True
resnet_medium__label_9__idx_7593,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_9__idx_7593.png,1.1777002811431885,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-1.1777002811431885,True
resnet_medium__label_43__idx_5506,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_43__idx_5506.png,0.959639310836792,99,0.1748561859130859,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-1.134495496749878,True
resnet_medium__label_31__idx_4651,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_31__idx_4651.png,0.9724760055541992,23,0.043700098991394,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-1.0161761045455933,True
resnet_medium__label_5__idx_4543,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_5__idx_4543.png,0.8129134178161621,23,0.1855878829956054,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.9985013008117676,True
resnet_medium__label_81__idx_6695,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_81__idx_6695.png,0.8253824710845947,23,0.07969331741333,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.9050757884979247,True
