image,seg_index,model,onnx,img_path,phi,yhat,L_global,L_global_src,global_result,L_global_imputed,L_object,L_object_src,object_result,L_object_imputed,L_background,L_background_src,background_result,L_background_imputed,Gamma,Gamma_defined
resnet_large__label_10__idx_7516,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_10__idx_7516.png,0.6740055084228516,99,0.2395647764205932,lb_min_finite,timeout False,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_10__idx_8477,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_10__idx_8477.png,0.3806288242340088,99,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_11__idx_3469,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_11__idx_3469.png,0.2772672176361084,28,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_12__idx_6868,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_12__idx_6868.png,0.6185035705566406,99,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_12__idx_8525,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_12__idx_8525.png,1.0079288482666016,94,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_13__idx_803,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_13__idx_803.png,0.4925391674041748,28,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.4925391674041748,True
resnet_large__label_17__idx_8201,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_17__idx_8201.png,0.46218395233154297,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.46218395233154297,True
resnet_large__label_18__idx_1992,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_18__idx_1992.png,0.6669363975524902,79,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_18__idx_5863,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_18__idx_5863.png,1.2434282302856445,23,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_18__idx_75,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_18__idx_75.png,0.49880099296569824,99,0.0972997844219207,lb_min_finite,timeout False,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
