image,tag,result,k,object_ratio,background_ratio,k_x_object_ratio,k_x_background_ratio,perturbed_pixel,pixel_perturbed_percentage,total_pixel
n01443537_goldfish,whole-image,safe,1568.0,0.8129982461734694,0.18700175382653061,1274.78125,293.21875,1568.0,3.125,50176.0
n01443537_goldfish,background,safe,1568.0,0.8129982461734694,0.18700175382653061,1274.78125,293.21875,293.21875,0.5843804807,50176.0
n01443537_goldfish,object,safe,1568.0,0.8129982461734694,0.18700175382653061,1274.78125,293.21875,1274.78125,2.5406195193,50176.0
n01484850_great_white_shark,whole-image,unsafe,1568.0,0.9022640306122448,0.0977359693877552,1414.7499999999998,153.25000000000014,1568.0,3.125,50176.0
n01484850_great_white_shark,background,unsafe,1568.0,0.9022640306122448,0.0977359693877552,1414.7499999999998,153.25000000000014,153.25000000000014,0.3054249043,50176.0
n01484850_great_white_shark,object,unsafe,1568.0,0.9022640306122448,0.0977359693877552,1414.7499999999998,153.25000000000014,1414.7499999999998,2.8195750957,50176.0
n01491361_tiger_shark,whole-image,safe,1568.0,0.9754663584183674,0.024533641581632626,1529.53125,38.46874999999996,1568.0,3.125,50176.0
n01491361_tiger_shark,background,safe,1568.0,0.9754663584183674,0.024533641581632626,1529.53125,38.46874999999996,38.46874999999996,0.0766676299,50176.0
n01491361_tiger_shark,object,safe,1568.0,0.9754663584183674,0.024533641581632626,1529.53125,38.46874999999996,1529.53125,3.0483323701,50176.0
n01496331_electric_ray,whole-image,safe,1568.0,0.9361447704081632,0.06385522959183676,1467.875,100.12500000000004,1568.0,3.125,50176.0
n01496331_electric_ray,background,safe,1568.0,0.9361447704081632,0.06385522959183676,1467.875,100.12500000000004,100.12500000000004,0.1995475925,50176.0
n01496331_electric_ray,object,safe,1568.0,0.9361447704081632,0.06385522959183676,1467.875,100.12500000000004,1467.875,2.9254524075,50176.0
n01514668_cock,whole-image,unsafe,1568.0,0.9447943239795918,0.055205676020408156,1481.4375,86.56249999999999,1568.0,3.125,50176.0
n01514668_cock,background,unsafe,1568.0,0.9447943239795918,0.055205676020408156,1481.4375,86.56249999999999,86.56249999999999,0.1725177376,50176.0
n01514668_cock,object,unsafe,1568.0,0.9447943239795918,0.055205676020408156,1481.4375,86.56249999999999,1481.4375,2.9524822624,50176.0
n01514859_hen,whole-image,unsafe,1568.0,0.6382533482142857,0.3617466517857143,1000.78125,567.21875,1568.0,3.125,50176.0
