instance_id,image,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,2,,,6,150522,150528,0.0039859693877551,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k2_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474628448486328,6.0,1583.2622587680817,1717.7779586315155,0.0
2,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k10_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474746465682983,3.0,1847.8480088710785,1856.7059466838837,0.0
3,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,20,,,60,150468,150528,0.039859693877551,global,,,,timeout False,,,,,
4,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,30,,,90,150438,150528,0.0597895408163265,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k30_eps_0.0001.vnnlib,1200.0,timeout False,,,,,
5,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,24,,,72,150456,150528,0.0478316326530612,global,,,,timeout False,,,,,
6,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,50,,,150,150378,150528,0.0996492346938775,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50_eps_0.0001.vnnlib,1200.0,timeout False,-0.1475269198417663,3.0,1679.117998838425,1687.4469447135923,0.0
7,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,196,,,588,149940,150528,0.390625,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k196_eps_0.0001.vnnlib,1200.0,timeout False,-0.1476987600326538,3.0,1843.021967172623,1851.9786138534544,0.0
8,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,784,,,2352,148176,150528,1.5625,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k784_eps_0.0001.vnnlib,1200.0,timeout False,-0.1484321355819702,3.0,1798.8217771053314,1926.042929649353,0.0
9,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,12544,,,37632,112896,150528,25.0,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k12544_eps_0.0001.vnnlib,1200.0,sat True,,,,103.08066153526306,0.0
10,n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,25088,,,75264,75264,150528,50.0,global,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k25088_eps_0.0001.vnnlib,1200.0,sat True,,,,108.67602109909058,0.0
