instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k2_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474628448486328,6.0,1583.2622587680817,1717.7779586315155,0.0
2,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k10_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474746465682983,3.0,1847.8480088710785,1856.7059466838837,0.0
4,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k30_eps_0.0001.vnnlib,1200.0,error,,,,,
6,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50_eps_0.0001.vnnlib,1200.0,timeout False,-0.1475269198417663,3.0,1679.117998838425,1687.4469447135923,0.0
7,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k196_eps_0.0001.vnnlib,1200.0,timeout False,-0.1476987600326538,3.0,1843.021967172623,1851.9786138534544,0.0
8,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k784_eps_0.0001.vnnlib,1200.0,timeout False,-0.1484321355819702,3.0,1798.8217771053314,1926.042929649353,0.0
9,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k12544_eps_0.0001.vnnlib,1200.0,sat True,,,,103.08066153526306,0.0
10,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k25088_eps_0.0001.vnnlib,1200.0,sat True,,,,108.67602109909058,0.0
11,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50176_eps_0.0001.vnnlib,1200.0,sat True,,,,9.812008619308472,0.0
12,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k2_eps_0.0002.vnnlib,1200.0,timeout False,-0.1474694609642028,6.0,1623.1989920139313,1740.437400341034,0.0
13,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k10_eps_0.0002.vnnlib,1200.0,timeout False,-0.147484540939331,3.0,1905.7872865200045,1914.055710554123,0.0
14,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k20_eps_0.0002.vnnlib,1200.0,error,,,,,
15,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k30_eps_0.0002.vnnlib,1200.0,error,,,,,
16,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k24_eps_0.0002.vnnlib,1200.0,error,,,,,
17,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50_eps_0.0002.vnnlib,1200.0,timeout False,-0.1475875377655029,3.0,1687.6490850448608,1797.2033231258392,0.0
18,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k196_eps_0.0002.vnnlib,1200.0,timeout False,-0.1479359269142151,3.0,1873.0257670879364,1881.892013311386,0.0
19,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k784_eps_0.0002.vnnlib,1200.0,timeout False,-0.1494644880294799,3.0,1815.2653546333313,1824.1724021434784,0.0
20,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k12544_eps_0.0002.vnnlib,1200.0,sat True,,,,9.9157133102417,0.0
21,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k25088_eps_0.0002.vnnlib,1200.0,sat True,,,,9.908524990081789,0.0
22,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50176_eps_0.0002.vnnlib,1200.0,sat True,,,,140.47530579566956,0.0
23,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k2_eps_0.0003.vnnlib,1200.0,timeout False,-0.147468090057373,6.0,1675.7582018375397,1684.711997270584,0.0
24,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k10_eps_0.0003.vnnlib,1200.0,timeout False,-0.1474969983100891,3.0,2279.3572793006897,2405.4112939834595,0.0
25,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k20_eps_0.0003.vnnlib,1200.0,error,,,,,
26,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k30_eps_0.0003.vnnlib,1200.0,error,,,,,
27,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k24_eps_0.0003.vnnlib,1200.0,error,,,,,
28,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50_eps_0.0003.vnnlib,1200.0,timeout False,-0.1476502418518066,3.0,1786.2288942337036,1806.537931680679,0.0
29,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k196_eps_0.0003.vnnlib,1200.0,timeout False,-0.1481831669807434,3.0,1861.5593106746671,1873.1652851104736,0.0
30,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k784_eps_0.0003.vnnlib,1200.0,timeout False,-0.1505530476570129,3.0,1840.1592671871183,1848.9827806949615,0.0
31,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k12544_eps_0.0003.vnnlib,1200.0,sat True,,,,103.19839119911194,0.0
32,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k25088_eps_0.0003.vnnlib,1200.0,sat True,,,,13.20730447769165,0.0
33,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50176_eps_0.0003.vnnlib,1200.0,sat True,,,,80.10185933113098,0.0
34,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k2_eps_0.0004.vnnlib,1200.0,timeout False,-0.147471010684967,6.0,1685.8448824882507,1695.7294962406158,0.0
36,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k20_eps_0.0004.vnnlib,1200.0,error,,,,,
37,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k30_eps_0.0004.vnnlib,1200.0,error,,,,,
38,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k24_eps_0.0004.vnnlib,1200.0,error,,,,,
39,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50_eps_0.0004.vnnlib,1200.0,timeout False,-0.1477165818214416,3.0,1794.6137013435364,1885.5620579719543,0.0
40,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k196_eps_0.0004.vnnlib,1200.0,timeout False,-0.1484293937683105,3.0,1888.882708787918,1946.763465642929,0.0
41,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k784_eps_0.0004.vnnlib,1200.0,timeout False,-0.1517004370689392,3.0,1901.3251054286957,1910.5996539592743,0.0
42,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k12544_eps_0.0004.vnnlib,1200.0,sat True,,,,108.08104634284972,0.0
43,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k25088_eps_0.0004.vnnlib,1200.0,sat True,,,,10.13714051246643,0.0
44,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_global_k50176_eps_0.0004.vnnlib,1200.0,sat True,,,,11.507725715637209,0.0
45,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k2_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474642753601074,46815.0,1194.1641869544983,1202.7990601062777,0.0
46,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k10_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474632024765014,6.0,1317.9805324077606,1389.8223493099213,0.0
47,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k20_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474670767784118,3.0,1149.9373061656952,1241.199678659439,0.0
48,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k30_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474705338478088,3.0,1420.9819521903992,1503.0260815620422,0.0
49,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k24_eps_0.0001.vnnlib,1200.0,timeout False,-0.1474716067314148,3.0,1577.6728672981262,1585.9674623012545,0.0
50,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k50_eps_0.0001.vnnlib,1200.0,timeout False,-0.147475004196167,3.0,1773.1647520065308,1864.6597261428833,0.0
51,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k196_eps_0.0001.vnnlib,1200.0,timeout False,-0.1475237011909485,3.0,1639.1816945075989,1706.4140284061432,0.0
52,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k784_eps_0.0001.vnnlib,1200.0,timeout False,-0.1477037072181701,3.0,1794.818210363388,1903.8595805168152,0.0
53,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200.0,timeout False,-0.1513943672180175,3.0,1871.0177006721497,2005.7387442588808,0.0
54,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k25088_eps_0.0001.vnnlib,1200.0,sat True,,,,9.991254806518556,0.0
55,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200.0,sat True,,,,141.02145743370056,0.0
56,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k2_eps_0.0002.vnnlib,1200.0,timeout False,-0.1474641561508178,42597.0,1086.224105834961,1202.4464480876925,0.0
57,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k10_eps_0.0002.vnnlib,1200.0,timeout False,-0.1474641561508178,6.0,1339.5330777168274,1348.4722723960876,0.0
58,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k20_eps_0.0002.vnnlib,1200.0,timeout False,-0.1474701762199401,3.0,1179.4500138759613,1315.413301944733,0.0
59,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k30_eps_0.0002.vnnlib,1200.0,timeout False,-0.1474764347076416,3.0,1449.34446144104,1566.9491872787476,0.0
60,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k24_eps_0.0002.vnnlib,1200.0,timeout False,-0.147481083869934,3.0,1703.6269578933716,1811.9294135570528,0.0
61,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k50_eps_0.0002.vnnlib,1200.0,timeout False,-0.1474897265434265,3.0,1988.451745510101,2118.320045948029,0.0
62,onnx/vgg16-7.onnx,vnnlib/n01531178_goldfinch_seg0_fixmask_k196_eps_0.0002.vnnlib,1200.0,timeout False,-0.1475839614868164,3.0,1706.9094586372375,1794.0671005249023,0.0
