instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,segment_index,pattern,k,eps_res,tag,is_global,eps,score,bbox,num_changed,num_fixed,total,percent_changed
1,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_eps_0.0001.vnnlib,1200,sat True,,,,11.847601890563965,0.0,,,,,,,,,,,,,,
2,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_eps_0.0003.vnnlib,1200,sat True,,,,11.594526290893556,0.0,,,,,,,,,,,,,,
3,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_eps_0.0005.vnnlib,1200,sat True,,,,11.712080478668211,0.0,,,,,,,,,,,,,,
4,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_eps_0.0007.vnnlib,1200,sat True,,,,11.639074087142944,0.0,,,,,,,,,,,,,,
5,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_eps_0.0010.vnnlib,1200,sat True,,,,11.892096042633057,0.0,,,,,,,,,,,,,,
6,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_eps_0.0050.vnnlib,1200,sat True,,,,11.852157354354858,0.0,,,,,,,,,,,,,,
7,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_eps_0.0100.vnnlib,1200,sat True,,,,11.851856470108032,0.0,,,,,,,,,,,,,,
8,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_eps_0.0001.vnnlib,1200,sat True,,,,11.728233337402344,0.0,,,,,,,,,,,,,,
9,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_eps_0.0003.vnnlib,1200,sat True,,,,11.738509893417358,0.0,,,,,,,,,,,,,,
10,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_eps_0.0005.vnnlib,1200,sat True,,,,11.93122386932373,0.0,,,,,,,,,,,,,,
11,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_eps_0.0007.vnnlib,1200,sat True,,,,12.014662265777588,0.0,,,,,,,,,,,,,,
12,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_eps_0.0010.vnnlib,1200,sat True,,,,11.921817541122437,0.0,,,,,,,,,,,,,,
13,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_eps_0.0050.vnnlib,1200,sat True,,,,9.954115629196169,0.0,,,,,,,,,,,,,,
14,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_eps_0.0100.vnnlib,1200,sat True,,,,10.175347328186035,0.0,,,,,,,,,,,,,,
15,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_eps_0.0001.vnnlib,1200,sat False,-inf,,2.394568681716919,12.707252264022827,0.0,,,,,,,,,,,,,,
16,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_eps_0.0003.vnnlib,1200,sat False,-inf,,2.394563674926758,12.706503868103027,0.0,,,,,,,,,,,,,,
17,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_eps_0.0005.vnnlib,1200,sat False,-inf,,2.4534661769866943,11.59585690498352,0.0,,,,,,,,,,,,,,
18,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_eps_0.0007.vnnlib,1200,sat False,-inf,,2.6081578731536865,11.437111616134644,0.0,,,,,,,,,,,,,,
19,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_eps_0.0010.vnnlib,1200,sat False,-inf,,2.3506102561950684,12.579017162322998,0.0,,,,,,,,,,,,,,
20,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_eps_0.0050.vnnlib,1200,sat False,-inf,,1.6032509803771973,11.773239135742188,0.0,,,,,,,,,,,,,,
21,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_eps_0.0100.vnnlib,1200,sat False,-inf,,1.68565034866333,9.418182611465454,0.0,,,,,,,,,,,,,,
22,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg1_fixmask_eps_0.0001.vnnlib,1200,sat True,,,,7.889060020446777,0.0,,,,,,,,,,,,,,
23,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg1_fixmask_eps_0.0003.vnnlib,1200,sat True,,,,8.05527400970459,0.0,,,,,,,,,,,,,,
24,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg1_fixmask_eps_0.0005.vnnlib,1200,sat True,,,,7.887178182601929,0.0,,,,,,,,,,,,,,
