instance_id,image,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,n01440764_tench,n01440764_tench_global,True,-1,0.0001,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k10_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.4857780933380127,2251.8530361652374,0.0
2,n01440764_tench,n01440764_tench_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k50176_eps_0.0001.vnnlib,1200.0,sat True,,,,2242.709431409836,0.0
3,n01440764_tench,n01440764_tench_global,True,-1,0.0003,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k10_eps_0.0003.vnnlib,1200.0,sat False,-inf,,2.445932626724243,1859.2410905361176,0.0
4,n01440764_tench,n01440764_tench_global,True,-1,0.0003,50176,,,150528,0,150528,100.0,global,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k50176_eps_0.0003.vnnlib,1200.0,sat True,,,,1860.1121091842651,0.0
5,n01440764_tench,n01440764_tench_seg0_fixmask,False,0,0.0001,10,0.9453021287918092,"[0, 0, 223, 223]",0,150528,150528,0.0,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k10_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.5905523300170898,2182.9937722682953,0.0
6,n01440764_tench,n01440764_tench_seg0_fixmask,False,0,0.0001,50176,0.9453021287918092,"[0, 0, 223, 223]",4446,146082,150528,2.9536033163265305,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.4369990825653076,2214.6450679302216,0.0
7,n01440764_tench,n01440764_tench_seg0_fixmask,False,0,0.0003,10,0.9453021287918092,"[0, 0, 223, 223]",0,150528,150528,0.0,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k10_eps_0.0003.vnnlib,1200.0,sat False,-inf,,1.3825204372406006,2251.6592683792114,0.0
8,n01440764_tench,n01440764_tench_seg0_fixmask,False,0,0.0003,50176,0.9453021287918092,"[0, 0, 223, 223]",4446,146082,150528,2.9536033163265305,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k50176_eps_0.0003.vnnlib,1200.0,sat False,-inf,,2.829251289367676,1855.16898727417,0.0
9,n01440764_tench,n01440764_tench_seg0_fixnonmask,False,0,0.0001,10,0.9453021287918092,"[0, 0, 223, 223]",30,150498,150528,0.0199298469387755,fix_nonmask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_k10_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.406553030014038,2243.4046607017517,0.0
10,n01440764_tench,n01440764_tench_seg0_fixnonmask,False,0,0.0001,50176,0.9453021287918092,"[0, 0, 223, 223]",146082,4446,150528,97.04639668367346,fix_nonmask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_k50176_eps_0.0001.vnnlib,1200.0,sat True,,,,1851.6905987262728,0.0
11,n01440764_tench,n01440764_tench_seg0_fixnonmask,False,0,0.0003,10,0.9453021287918092,"[0, 0, 223, 223]",30,150498,150528,0.0199298469387755,fix_nonmask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_k10_eps_0.0003.vnnlib,1200.0,sat False,-inf,,1.5784780979156494,1862.2933382987976,0.0
12,n01440764_tench,n01440764_tench_seg0_fixnonmask,False,0,0.0003,50176,0.9453021287918092,"[0, 0, 223, 223]",146082,4446,150528,97.04639668367346,fix_nonmask,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_k50176_eps_0.0003.vnnlib,1200.0,sat True,,,,1858.9519126415253,0.0
13,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k10_eps_0.0001.vnnlib,1200.0,unsat False,1.833387851715088,0.0,580.5071120262146,2434.853170156479,0.0
14,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global,,,,timeout False,,,,,
15,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0003,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k10_eps_0.0003.vnnlib,1200.0,unsat False,1.833369255065918,0.0,592.783171415329,2443.075952768326,0.0
16,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0003,50176,,,150528,0,150528,100.0,global,,,,timeout False,,,,,
17,n01443537_goldfish,n01443537_goldfish_seg0_fixmask,False,0,0.0001,10,0.8230906128883362,"[0, 1, 223, 222]",6,150522,150528,0.0039859693877551,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k10_eps_0.0001.vnnlib,1200.0,unsat False,1.8333956003189087,0.0,282.7245092391968,2140.2256457805634,0.0
18,n01443537_goldfish,n01443537_goldfish_seg0_fixmask,False,0,0.0001,50176,0.8230906128883362,"[0, 1, 223, 222]",28149,122379,150528,18.70017538265306,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200.0,unsat False,1.8188979625701904,0.0,644.8361172676086,2597.256301164627,0.0
19,n01443537_goldfish,n01443537_goldfish_seg0_fixmask,False,0,0.0003,10,0.8230906128883362,"[0, 1, 223, 222]",6,150522,150528,0.0039859693877551,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k10_eps_0.0003.vnnlib,1200.0,unsat False,1.8333916664123535,0.0,287.29821252822876,2145.790349006653,0.0
20,n01443537_goldfish,n01443537_goldfish_seg0_fixmask,False,0,0.0003,50176,0.8230906128883362,"[0, 1, 223, 222]",28149,122379,150528,18.70017538265306,fix_mask,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k50176_eps_0.0003.vnnlib,1200.0,unsat False,1.6805187463760376,0.0,693.7222077846527,2647.281210899353,0.0
21,n01443537_goldfish,n01443537_goldfish_seg0_fixnonmask,False,0,0.0001,10,0.8230906128883362,"[0, 1, 223, 222]",24,150504,150528,0.0159438775510204,fix_nonmask,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k10_eps_0.0001.vnnlib,1200.0,unsat False,1.8333898782730105,0.0,543.2020330429077,2398.4416818618774,0.0
22,n01443537_goldfish,n01443537_goldfish_seg0_fixnonmask,False,0,0.0001,50176,0.8230906128883362,"[0, 1, 223, 222]",122379,28149,150528,81.29982461734694,fix_nonmask,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k50176_eps_0.0001.vnnlib,1200.0,unsat False,1.494823932647705,0.0,716.0388531684875,2623.632149219513,0.0
23,n01443537_goldfish,n01443537_goldfish_seg0_fixnonmask,False,0,0.0003,10,0.8230906128883362,"[0, 1, 223, 222]",24,150504,150528,0.0159438775510204,fix_nonmask,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k10_eps_0.0003.vnnlib,1200.0,unsat False,1.8333747386932373,0.0,551.3577270507812,2402.248774290085,0.0
24,n01443537_goldfish,n01443537_goldfish_seg0_fixnonmask,False,0,0.0003,50176,0.8230906128883362,"[0, 1, 223, 222]",122379,28149,150528,81.29982461734694,fix_nonmask,,,,timeout False,,,,,
25,n01484850_great_white_shark,n01484850_great_white_shark_global,True,-1,0.0001,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k10_eps_0.0001.vnnlib,1200.0,sat False,-inf,,4.499659299850464,1846.136836051941,0.0
26,n01484850_great_white_shark,n01484850_great_white_shark_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k50176_eps_0.0001.vnnlib,1200.0,sat True,,,,1887.3705368041992,0.0
27,n01484850_great_white_shark,n01484850_great_white_shark_global,True,-1,0.0003,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k10_eps_0.0003.vnnlib,1200.0,sat False,-inf,,4.627727031707764,1846.220662355423,0.0
28,n01484850_great_white_shark,n01484850_great_white_shark_global,True,-1,0.0003,50176,,,150528,0,150528,100.0,global,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k50176_eps_0.0003.vnnlib,1200.0,sat True,,,,1861.9074296951296,0.0
