instance_id,onnx,vnnlib,timeout,result,domains_visited,bab_time,all_time,init_unstable,lb_len,lb_num_finite,lb_min_finite,lb_argmin_finite,lb_any_neg_finite,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
1,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2453780174255371,108.0350058078766,3717,98,1,0.2395639419555664,77.0,False,resnet_large__label_10__idx_7516,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
2,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.9234390258789062,0,0,0,,,False,resnet_large__label_10__idx_7516,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276182651519777,"[0, 0, 31, 31]",495,2577,3072,16.11328125,random
3,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1471235752105713,100.61731362342834,3352,98,0,,,False,resnet_large__label_10__idx_7516,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276182651519777,"[0, 0, 31, 31]",2577,495,3072,83.88671875,random
4,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1966528892517089,106.39695477485655,3738,98,0,,,False,resnet_large__label_10__idx_8477,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
5,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,4.082979440689087,0,0,0,,,False,resnet_large__label_10__idx_8477,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.943593978881836,"[0, 0, 31, 31]",447,2625,3072,14.55078125,random
6,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2308189868927002,105.04923796653748,3370,98,0,,,False,resnet_large__label_10__idx_8477,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.943593978881836,"[0, 0, 31, 31]",2625,447,3072,85.44921875,random
7,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_global_k1024_eps_0.0039.vnnlib,100,sat True,,,5.034047842025757,0,0,0,,,False,resnet_large__label_11__idx_3469,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
8,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,3.952769279479981,0,0,0,,,False,resnet_large__label_11__idx_3469,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863827347755432,"[0, 0, 31, 31]",303,2769,3072,9.86328125,random
9,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2381377220153808,102.55173468589784,3108,95,0,,,False,resnet_large__label_11__idx_3469,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863827347755432,"[0, 0, 31, 31]",2769,303,3072,90.13671875,random
10,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_global_k1024_eps_0.0039.vnnlib,100,sat True,,,3.942408800125122,0,0,0,,,False,resnet_large__label_12__idx_6868,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
11,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.540441513061523,0,0,0,,,False,resnet_large__label_12__idx_6868,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.3813453912734985,"[0, 0, 31, 31]",12,3060,3072,0.390625,random
12,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,5.655559539794922,0,0,0,,,False,resnet_large__label_12__idx_6868,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.3813453912734985,"[0, 0, 31, 31]",3060,12,3072,99.609375,random
