instance_id,onnx,vnnlib,timeout,result,domains_visited,bab_time,all_time,init_unstable,lb_len,lb_num_finite,lb_min_finite,lb_argmin_finite,lb_any_neg_finite,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
1,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1455311775207519,101.13347125053406,3717,98,1,0.2395637035369873,77.0,False,resnet_large__label_10__idx_7516,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
2,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,4.7337281703948975,0,0,0,,,False,resnet_large__label_10__idx_7516,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276002049446106,"[0, 0, 31, 31]",303,2769,3072,9.86328125,random
3,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1502351760864257,101.58235239982604,3503,98,0,,,False,resnet_large__label_10__idx_7516,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276002049446106,"[0, 0, 31, 31]",2769,303,3072,90.13671875,random
4,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1501104831695556,100.77350306510924,3738,98,0,,,False,resnet_large__label_10__idx_8477,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
5,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,4.114388465881348,0,0,0,,,False,resnet_large__label_10__idx_8477,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9435863494873048,"[0, 0, 31, 31]",267,2805,3072,8.69140625,random
6,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1549704074859619,104.13165307044984,3526,98,0,,,False,resnet_large__label_10__idx_8477,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9435863494873048,"[0, 0, 31, 31]",2805,267,3072,91.30859375,random
7,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_global_k1024_eps_0.0039.vnnlib,100,sat True,,,5.274614334106445,0,0,0,,,False,resnet_large__label_11__idx_3469,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
8,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,3.729898452758789,0,0,0,,,False,resnet_large__label_11__idx_3469,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863373160362244,"[0, 0, 31, 31]",75,2997,3072,2.44140625,random
9,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,5.860029935836792,0,0,0,,,False,resnet_large__label_11__idx_3469,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863373160362244,"[0, 0, 31, 31]",2997,75,3072,97.55859375,random
10,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_global_k1024_eps_0.0039.vnnlib,100,sat True,,,5.807868480682373,0,0,0,,,False,resnet_large__label_12__idx_6868,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
11,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,4.394625663757324,0,0,0,,,False,resnet_large__label_12__idx_6868,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.3810194432735443,"[0, 0, 31, 31]",3,3069,3072,0.09765625,random
12,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,5.707377195358276,0,0,0,,,False,resnet_large__label_12__idx_6868,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.3810194432735443,"[0, 0, 31, 31]",3069,3,3072,99.90234375,random
13,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_8525_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1485078334808349,101.98317742347716,2278,97,0,,,False,resnet_large__label_12__idx_8525,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
14,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_8525_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,3.1680562496185303,0,0,0,,,False,resnet_large__label_12__idx_8525,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7213395237922668,"[0, 0, 31, 31]",18,3054,3072,0.5859375,random
15,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_8525_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1486322879791259,101.34093379974364,2269,97,0,,,False,resnet_large__label_12__idx_8525,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7213395237922668,"[0, 0, 31, 31]",3054,18,3072,99.4140625,random
16,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_13__idx_803_global_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.1505224704742431,33.39165449142456,2965,98,0,,,False,resnet_large__label_13__idx_803,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
17,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_13__idx_803_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.725219249725342,0,0,0,,,False,resnet_large__label_13__idx_803,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.5789956450462341,"[0, 0, 31, 31]",33,3039,3072,1.07421875,random
18,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_13__idx_803_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.1548054218292236,34.05574584007263,2934,98,0,,,False,resnet_large__label_13__idx_803,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.5789956450462341,"[0, 0, 31, 31]",3039,33,3072,98.92578125,random
19,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_17__idx_8201_global_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.3001513481140136,36.7296667098999,2526,98,0,,,False,resnet_large__label_17__idx_8201,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
20,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_17__idx_8201_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,4.455414295196533,0,0,0,,,False,resnet_large__label_17__idx_8201,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.6052998304367065,"[0, 0, 31, 31]",6,3066,3072,0.1953125,random
21,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_17__idx_8201_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,unsat False,0.0,0.2362937927246093,34.05384588241577,2524,98,0,,,False,resnet_large__label_17__idx_8201,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.6052998304367065,"[0, 0, 31, 31]",3066,6,3072,99.8046875,random
22,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_1992_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2658135890960693,103.08854985237122,4076,98,0,,,False,resnet_large__label_18__idx_1992,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
23,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_1992_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.879448652267456,0,0,0,,,False,resnet_large__label_18__idx_1992,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.4473094940185547,"[0, 0, 31, 31]",0,3072,3072,0.0,random
24,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_1992_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1513197422027588,105.95386528968812,4076,98,0,,,False,resnet_large__label_18__idx_1992,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.4473094940185547,"[0, 0, 31, 31]",3072,0,3072,100.0,random
25,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_5863_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2353298664093017,103.81407165527344,2692,98,0,,,False,resnet_large__label_18__idx_5863,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
26,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_5863_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,4.260561943054199,0,0,0,,,False,resnet_large__label_18__idx_5863,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.8389684557914734,"[0, 0, 31, 31]",3,3069,3072,0.09765625,random
27,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_5863_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.1519539356231689,104.5774245262146,2690,98,0,,,False,resnet_large__label_18__idx_5863,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.8389684557914734,"[0, 0, 31, 31]",3069,3,3072,99.90234375,random
28,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_75_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2359378337860107,102.37167096138,3174,98,1,0.09729823470115662,89.0,False,resnet_large__label_18__idx_75,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
29,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_75_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,2.7243294715881348,0,0,0,,,False,resnet_large__label_18__idx_75,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9115673303604126,"[0, 0, 31, 31]",0,3072,3072,0.0,random
30,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_75_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2362446784973144,101.4050612449646,3174,98,1,0.09729969501495361,89.0,False,resnet_large__label_18__idx_75,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9115673303604126,"[0, 0, 31, 31]",3072,0,3072,100.0,random
31,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_917_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2385926246643066,101.19185638427734,3112,98,0,,,False,resnet_large__label_18__idx_917,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
32,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_18__idx_917_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,3.2568931579589844,0,0,0,,,False,resnet_large__label_18__idx_917,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.5619344711303711,"[0, 0, 31, 31]",0,3072,3072,0.0,random
