instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_10__idx_7516_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,8.730609893798828,0
2,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_10__idx_7516_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.1958980560302734,0
3,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_10__idx_7516_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,5.717266082763672,0
4,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_10__idx_8477_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.1714627742767334,0
5,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_10__idx_8477_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,2.8769993782043457,0
6,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_10__idx_8477_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.539987564086914,0
7,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_11__idx_3469_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,2.820655345916748,0
8,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_11__idx_3469_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,6.265405893325806,0
9,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_11__idx_3469_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.492213010787964,0
10,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_12__idx_6868_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,6.0547919273376465,0
11,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_12__idx_6868_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.2875490188598633,0
12,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_12__idx_6868_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.080735445022583,0
13,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_12__idx_8525_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.430162191390991,0
14,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_12__idx_8525_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.26982045173645,0
15,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_12__idx_8525_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.006577014923096,0
16,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_13__idx_803_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.118354082107544,0
17,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_13__idx_803_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.410065174102783,0
18,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_13__idx_803_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.525329113006592,0
19,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_17__idx_8201_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.6817538738250732,0
20,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_17__idx_8201_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.278303384780884,0
21,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_17__idx_8201_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,5.845759868621826,0
22,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_1992_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.514585494995117,0
23,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_1992_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,2.913060188293457,0
24,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_1992_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.130982398986816,0
25,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_5863_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.762120008468628,0
26,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_5863_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.372947692871094,0
27,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_5863_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,4.551973104476929,0
28,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_75_global_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.6168158054351807,0
29,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_75_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,3.9770703315734863,0
30,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large__resnet_large__label_18__idx_75_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,sat True,,,,2.9371345043182373,0
