instance_id,onnx,vnnlib,timeout,result,domains_visited,bab_time,all_time,init_unstable,lb_len,lb_num_finite,lb_min_finite,lb_argmin_finite,lb_any_neg_finite,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
1,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2389228343963623,107.44757986068726,3717,98,1,0.2395632266998291,77.0,False,resnet_large__label_10__idx_7516,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
2,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,5.936535358428955,0,0,0,,,False,resnet_large__label_10__idx_7516,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276182651519777,"[0, 0, 31, 31]",735,2337,3072,23.92578125,random
3,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_7516_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.22806978225708,106.57121682167052,3132,98,0,,,False,resnet_large__label_10__idx_7516,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.9276182651519777,"[0, 0, 31, 31]",2337,735,3072,76.07421875,random
4,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_global_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.241100788116455,105.48877954483032,3738,98,0,,,False,resnet_large__label_10__idx_8477,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
5,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,5.620211839675903,0,0,0,,,False,resnet_large__label_10__idx_8477,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.943593978881836,"[0, 0, 30, 31]",669,2403,3072,21.77734375,random
6,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_10__idx_8477_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2322752475738525,101.66784167289734,3178,98,0,,,False,resnet_large__label_10__idx_8477,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.943593978881836,"[0, 0, 30, 31]",2403,669,3072,78.22265625,random
7,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_global_k1024_eps_0.0039.vnnlib,100,sat True,,,5.346395254135132,0,0,0,,,False,resnet_large__label_11__idx_3469,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
8,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_mask_seg0_k1024_eps_0.0039.vnnlib,100,unsat True,,,5.437856435775757,0,0,0,,,False,resnet_large__label_11__idx_3469,fix_mask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863827347755432,"[0, 0, 31, 31]",648,2424,3072,21.09375,random
9,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_11__idx_3469_fix_nonmask_seg0_k1024_eps_0.0039.vnnlib,100,timeout False,0.0,0.2392177581787109,102.03431057929993,2753,96,1,0.04451775550842285,38.0,False,resnet_large__label_11__idx_3469,fix_nonmask,0,1024,0.0039,CIFAR100_resnet_large,False,0.7863827347755432,"[0, 0, 31, 31]",2424,648,3072,78.90625,random
10,onnx/CIFAR100_resnet_large.onnx,vnnlib/resnet_large__label_12__idx_6868_global_k1024_eps_0.0039.vnnlib,100,sat True,,,4.774988174438477,0,0,0,,,False,resnet_large__label_12__idx_6868,global,-1,1024,0.0039,CIFAR100_resnet_large,True,,,3072,0,3072,100.0,random
