image,model,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
resnet_large__label_10__idx_7516,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_10__idx_7516,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.9276002049446106,"[0, 0, 31, 31]",207,2865,3072,6.73828125,random
resnet_large__label_10__idx_7516,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.9276002049446106,"[0, 0, 31, 31]",2865,207,3072,93.26171875,random
resnet_large__label_10__idx_8477,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_10__idx_8477,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.9435863494873047,"[0, 0, 31, 31]",177,2895,3072,5.76171875,random
resnet_large__label_10__idx_8477,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.9435863494873047,"[0, 0, 31, 31]",2895,177,3072,94.23828125,random
resnet_large__label_11__idx_3469,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_11__idx_3469,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.7863373160362244,"[0, 0, 31, 31]",9,3063,3072,0.29296875,random
resnet_large__label_11__idx_3469,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.7863373160362244,"[0, 0, 31, 31]",3063,9,3072,99.70703125,random
resnet_large__label_12__idx_6868,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_12__idx_6868,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.3810194432735443,"[0, 0, 31, 31]",0,3072,3072,0.0,random
resnet_large__label_12__idx_6868,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.3810194432735443,"[0, 0, 31, 31]",3072,0,3072,100.0,random
resnet_large__label_12__idx_8525,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_12__idx_8525,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.7213395237922668,"[0, 0, 31, 31]",0,3072,3072,0.0,random
resnet_large__label_12__idx_8525,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.7213395237922668,"[0, 0, 31, 31]",3072,0,3072,100.0,random
resnet_large__label_13__idx_803,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_13__idx_803,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.5789956450462341,"[0, 0, 31, 31]",18,3054,3072,0.5859375,random
resnet_large__label_13__idx_803,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.5789956450462341,"[0, 0, 31, 31]",3054,18,3072,99.4140625,random
resnet_large__label_17__idx_8201,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_17__idx_8201,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.6052998304367065,"[0, 0, 31, 31]",0,3072,3072,0.0,random
resnet_large__label_17__idx_8201,CIFAR100_resnet_large,fix_nonmask,False,0,0.0039,1024,0.6052998304367065,"[0, 0, 31, 31]",3072,0,3072,100.0,random
resnet_large__label_18__idx_1992,CIFAR100_resnet_large,global,True,-1,0.0039,1024,,,3072,0,3072,100.0,random
resnet_large__label_18__idx_1992,CIFAR100_resnet_large,fix_mask,False,0,0.0039,1024,0.4473094940185547,"[0, 0, 31, 31]",0,3072,3072,0.0,random
