instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,segment_index,pattern,k,eps_res,tag,is_global,eps,score,bbox,num_changed,num_fixed,total,percent_changed
1,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k10_eps_0.0001.vnnlib,1200,sat False,-inf,,1.4857780933380127,2251.8530361652374,0.0,n01440764_tench,-1,global,10,0.0001,n01440764_tench_global,True,0.0001,,,30.0,150498.0,150528.0,0.0199298469387755
2,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,2242.709431409836,0.0,n01440764_tench,-1,global,50176,0.0001,n01440764_tench_global,True,0.0001,,,150528.0,0.0,150528.0,100.0
3,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k10_eps_0.0003.vnnlib,1200,sat False,-inf,,2.445932626724243,1859.2410905361176,0.0,n01440764_tench,-1,global,10,0.0003,n01440764_tench_global,True,0.0003,,,30.0,150498.0,150528.0,0.0199298469387755
4,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_global_k50176_eps_0.0003.vnnlib,1200,sat True,,,,1860.1121091842651,0.0,n01440764_tench,-1,global,50176,0.0003,n01440764_tench_global,True,0.0003,,,150528.0,0.0,150528.0,100.0
5,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k10_eps_0.0001.vnnlib,1200,sat False,-inf,,1.5905523300170898,2182.9937722682953,0.0,n01440764_tench,0,fix_mask,10,0.0001,n01440764_tench_seg0_fixmask,False,0.0001,0.9453021287918092,"[0, 0, 223, 223]",0.0,150528.0,150528.0,0.0
6,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200,sat False,-inf,,1.4369990825653076,2214.6450679302216,0.0,n01440764_tench,0,fix_mask,50176,0.0001,n01440764_tench_seg0_fixmask,False,0.0001,0.9453021287918092,"[0, 0, 223, 223]",4446.0,146082.0,150528.0,2.9536033163265305
7,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k10_eps_0.0003.vnnlib,1200,sat False,-inf,,1.3825204372406006,2251.6592683792114,0.0,n01440764_tench,0,fix_mask,10,0.0003,n01440764_tench_seg0_fixmask,False,0.0003,0.9453021287918092,"[0, 0, 223, 223]",0.0,150528.0,150528.0,0.0
8,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixmask_k50176_eps_0.0003.vnnlib,1200,sat False,-inf,,2.829251289367676,1855.16898727417,0.0,n01440764_tench,0,fix_mask,50176,0.0003,n01440764_tench_seg0_fixmask,False,0.0003,0.9453021287918092,"[0, 0, 223, 223]",4446.0,146082.0,150528.0,2.9536033163265305
9,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_k10_eps_0.0001.vnnlib,1200,sat False,-inf,,1.406553030014038,2243.4046607017517,0.0,n01440764_tench,0,fix_nonmask,10,0.0001,n01440764_tench_seg0_fixnonmask,False,0.0001,0.9453021287918092,"[0, 0, 223, 223]",30.0,150498.0,150528.0,0.0199298469387755
10,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_k50176_eps_0.0001.vnnlib,1200,sat True,,,,1851.6905987262728,0.0,n01440764_tench,0,fix_nonmask,50176,0.0001,n01440764_tench_seg0_fixnonmask,False,0.0001,0.9453021287918092,"[0, 0, 223, 223]",146082.0,4446.0,150528.0,97.04639668367346
11,onnx/vgg16-7.onnx,vnnlib/n01440764_tench_seg0_fixnonmask_k10_eps_0.0003.vnnlib,1200,sat False,-inf,,1.5784780979156494,1862.2933382987976,0.0,n01440764_tench,0,fix_nonmask,10,0.0003,n01440764_tench_seg0_fixnonmask,False,0.0003,0.9453021287918092,"[0, 0, 223, 223]",30.0,150498.0,150528.0,0.0199298469387755
