image,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,2,,,6,150522,150528,0.003985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,10,,,30,150498,150528,0.01992984693877551,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,20,,,60,150468,150528,0.03985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,30,,,90,150438,150528,0.05978954081632653,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,24,,,72,150456,150528,0.04783163265306122,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,50,,,150,150378,150528,0.09964923469387756,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,196,,,588,149940,150528,0.390625,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,784,,,2352,148176,150528,1.5625,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,12544,,,37632,112896,150528,25.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,25088,,,75264,75264,150528,50.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,2,,,6,150522,150528,0.003985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,10,,,30,150498,150528,0.01992984693877551,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,20,,,60,150468,150528,0.03985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,30,,,90,150438,150528,0.05978954081632653,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,24,,,72,150456,150528,0.04783163265306122,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,50,,,150,150378,150528,0.09964923469387756,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,196,,,588,149940,150528,0.390625,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,784,,,2352,148176,150528,1.5625,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,12544,,,37632,112896,150528,25.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,25088,,,75264,75264,150528,50.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0002,50176,,,150528,0,150528,100.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,2,,,6,150522,150528,0.003985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,10,,,30,150498,150528,0.01992984693877551,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,20,,,60,150468,150528,0.03985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,30,,,90,150438,150528,0.05978954081632653,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,24,,,72,150456,150528,0.04783163265306122,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,50,,,150,150378,150528,0.09964923469387756,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,196,,,588,149940,150528,0.390625,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,784,,,2352,148176,150528,1.5625,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,12544,,,37632,112896,150528,25.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,25088,,,75264,75264,150528,50.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0003,50176,,,150528,0,150528,100.0,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0004,2,,,6,150522,150528,0.003985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0004,10,,,30,150498,150528,0.01992984693877551,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0004,20,,,60,150468,150528,0.03985969387755102,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0004,30,,,90,150438,150528,0.05978954081632653,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0004,24,,,72,150456,150528,0.04783163265306122,global
n01531178_goldfinch,n01531178_goldfinch_global,True,-1,0.0004,50,,,150,150378,150528,0.09964923469387756,global
