instance_id,image,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,n01558993_robin,n01558993_robin_global,True,-1,0.0001,2,,,6,150522,150528,0.0039859693877551,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k2_eps_0.0001.vnnlib,1200,unsat False,0.0509952306747436,0.0,280.7487795352936,286.8760747909546,0
2,n01558993_robin,n01558993_robin_global,True,-1,0.0001,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k10_eps_0.0001.vnnlib,1200,unsat False,0.0509838461875915,0.0,549.263697385788,556.1813549995422,0
3,n01558993_robin,n01558993_robin_global,True,-1,0.0001,20,,,60,150468,150528,0.039859693877551,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k20_eps_0.0001.vnnlib,1200,unsat False,0.0509740114212036,0.0,653.4718470573425,660.3653652667999,0
4,n01558993_robin,n01558993_robin_global,True,-1,0.0001,30,,,90,150438,150528,0.0597895408163265,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k30_eps_0.0001.vnnlib,1200,unsat False,0.0509649515151977,0.0,676.0490031242371,682.967193365097,0
5,n01558993_robin,n01558993_robin_global,True,-1,0.0001,24,,,72,150456,150528,0.0478316326530612,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k24_eps_0.0001.vnnlib,1200,unsat False,0.0509740114212036,0.0,674.6659359931946,680.9943511486053,0
6,n01558993_robin,n01558993_robin_global,True,-1,0.0001,50,,,150,150378,150528,0.0996492346938775,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k50_eps_0.0001.vnnlib,1200,unsat False,0.0509301424026489,0.0,531.8078927993774,538.3351809978485,0
7,n01558993_robin,n01558993_robin_global,True,-1,0.0001,196,,,588,149940,150528,0.390625,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k196_eps_0.0001.vnnlib,1200,unsat False,0.0507755875587463,0.0,585.9074263572693,592.0355849266052,0
8,n01558993_robin,n01558993_robin_global,True,-1,0.0001,784,,,2352,148176,150528,1.5625,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k784_eps_0.0001.vnnlib,1200,unsat False,0.0501050949096679,0.0,571.2012867927551,577.3647575378418,0
9,n01558993_robin,n01558993_robin_global,True,-1,0.0001,12544,,,37632,112896,150528,25.0,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k12544_eps_0.0001.vnnlib,1200,unsat False,0.0293686985969543,0.0,684.9675624370575,698.3231148719788,0
10,n01558993_robin,n01558993_robin_global,True,-1,0.0001,25088,,,75264,75264,150528,50.0,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k25088_eps_0.0001.vnnlib,1200,timeout False,-0.0629495978355407,3.0,2144.2241513729095,2157.636823415756,0
11,n01558993_robin,n01558993_robin_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,7.2990336418151855,0
12,n01558993_robin,n01558993_robin_global,True,-1,0.0002,2,,,6,150522,150528,0.0039859693877551,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k2_eps_0.0002.vnnlib,1200,unsat False,0.0509941577911376,0.0,284.44108605384827,290.8509829044342,0
13,n01558993_robin,n01558993_robin_global,True,-1,0.0002,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k10_eps_0.0002.vnnlib,1200,unsat False,0.0509703755378723,0.0,555.9662191867828,562.3763213157654,0
14,n01558993_robin,n01558993_robin_global,True,-1,0.0002,20,,,60,150468,150528,0.039859693877551,global,onnx/vgg16-7.onnx,vnnlib/n01558993_robin_global_k20_eps_0.0002.vnnlib,1200,unsat False,0.0509508252143859,0.0,660.6863214969635,669.743147611618,0
