instance_id,image,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,2,,,6,150522,150528,0.0039859693877551,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k2_eps_0.0001.vnnlib,1200.0,unsat False,1.8333959579467771,0.0,317.78321075439453,1539.4855017662048,0.0
2,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,10,,,30,150498,150528,0.0199298469387755,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k10_eps_0.0001.vnnlib,1200.0,unsat False,1.8333877325057983,0.0,582.4038081169128,1803.143597602844,0.0
3,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,20,,,60,150468,150528,0.039859693877551,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k20_eps_0.0001.vnnlib,1200.0,unsat False,1.8333748579025269,0.0,621.2964265346527,1847.017946958542,0.0
4,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,30,,,90,150438,150528,0.0597895408163265,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k30_eps_0.0001.vnnlib,1200.0,unsat False,1.8333557844161987,0.0,665.4480366706848,1892.42013669014,0.0
5,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,24,,,72,150456,150528,0.0478316326530612,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k24_eps_0.0001.vnnlib,1200.0,unsat False,1.83337140083313,0.0,638.2574479579926,2154.6910293102264,0.0
6,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,50,,,150,150378,150528,0.0996492346938775,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k50_eps_0.0001.vnnlib,1200.0,unsat False,1.8333473205566408,0.0,506.549218416214,1737.0504336357117,0.0
7,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,196,,,588,149940,150528,0.390625,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k196_eps_0.0001.vnnlib,1200.0,unsat False,1.833208918571472,0.0,570.1028118133545,2083.3365063667297,0.0
8,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,784,,,2352,148176,150528,1.5625,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k784_eps_0.0001.vnnlib,1200.0,unsat False,1.8326524496078491,0.0,573.4315202236176,1799.3954720497131,0.0
9,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,12544,,,37632,112896,150528,25.0,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k12544_eps_0.0001.vnnlib,1200.0,unsat False,1.8155680894851685,0.0,661.4950363636017,2178.8005135059357,0.0
10,n01443537_goldfish,n01443537_goldfish_global,True,-1,0.0001,25088,,,75264,75264,150528,50.0,global,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k25088_eps_0.0001.vnnlib,1200.0,unsat False,1.7713227272033691,0.0,684.6810250282288,1918.7041351795197,0.0
