instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
6.0,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k1568_eps_0.0001.vnnlib,1200.0,unsat False,1.8318383693695068,0.0,573.0279188156128,579.169224023819,0.0,n01443537_goldfish,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
12.0,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,unsat False,1.8330774307250977,0.0,583.5873215198517,588.6523382663727,0.0,n01443537_goldfish,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.8230918645858765,"[0, 1, 223, 222]",4704.0,145824.0,150528.0,3.125,random
18.0,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,unsat False,1.8321853876113887,0.0,579.4655191898346,584.483362197876,0.0,n01443537_goldfish,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.8230918645858765,"[0, 1, 223, 222]",4704.0,145824.0,150528.0,3.125,random
24.0,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.6820125579833984,6.717511415481567,0.0,n01484850_great_white_shark,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
30.0,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.7406189441680908,6.98491096496582,0.0,n01484850_great_white_shark,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.903913676738739,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
36.0,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.2874877452850342,6.459707498550415,0.0,n01484850_great_white_shark,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.903913676738739,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
42.0,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k1568_eps_0.0001.vnnlib,1200.0,unsat False,0.5633188486099243,0.0,601.6587500572205,606.7666845321655,0.0,n01491361_tiger_shark,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
48.0,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,unsat False,0.5647774934768677,0.0,495.4242458343506,500.6145377159119,0.0,n01491361_tiger_shark,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9602170586586,"[0, 0, 223, 223]",3693.0,146835.0,150528.0,2.4533641581632653,random
54.0,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,unsat False,0.5633621215820312,0.0,638.23974609375,643.3086216449738,0.0,n01491361_tiger_shark,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9602170586586,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
60.0,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k1568_eps_0.0001.vnnlib,1200.0,unsat False,0.0924932807683944,0.0,637.2061235904694,642.4873802661896,0.0,n01496331_electric_ray,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
66.0,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,unsat False,0.0936664789915084,0.0,598.3625972270966,603.5693447589874,0.0,n01496331_electric_ray,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9159132838249208,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
72.0,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,unsat False,0.09256312251091,0.0,641.4167907238007,646.6449856758118,0.0,n01496331_electric_ray,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9159132838249208,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
78.0,onnx/vgg16-7.onnx,vnnlib/n01514668_cock_global_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.7481260299682615,7.000754833221436,0.0,n01514668_cock,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
84.0,onnx/vgg16-7.onnx,vnnlib/n01514668_cock_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,2.074924230575561,7.265196561813354,0.0,n01514668_cock,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9203580617904664,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
90.0,onnx/vgg16-7.onnx,vnnlib/n01514668_cock_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.2544667720794678,6.520087003707886,0.0,n01514668_cock,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9203580617904664,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
96.0,onnx/vgg16-7.onnx,vnnlib/n01514859_hen_global_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.738327980041504,6.842462062835693,0.0,n01514859_hen,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
102.0,onnx/vgg16-7.onnx,vnnlib/n01514859_hen_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.906538009643555,6.9116504192352295,0.0,n01514859_hen,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.7729083895683289,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
108.0,onnx/vgg16-7.onnx,vnnlib/n01514859_hen_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.4505677223205566,6.655939817428589,0.0,n01514859_hen,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.7729083895683289,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
114.0,onnx/vgg16-7.onnx,vnnlib/n01518878_ostrich_global_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,2.791776895523072,8.001070261001587,0.0,n01518878_ostrich,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
120.0,onnx/vgg16-7.onnx,vnnlib/n01518878_ostrich_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.2871761322021484,6.444829940795898,0.0,n01518878_ostrich,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9037340879440308,"[0, 0, 223, 222]",4704.0,145824.0,150528.0,3.125,random
126.0,onnx/vgg16-7.onnx,vnnlib/n01518878_ostrich_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.810232162475586,7.003755807876587,0.0,n01518878_ostrich,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.9037340879440308,"[0, 0, 223, 222]",4704.0,145824.0,150528.0,3.125,random
132.0,onnx/vgg16-7.onnx,vnnlib/n01530575_brambling_global_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.804393529891968,7.106373310089111,0.0,n01530575_brambling,global,-1.0,1568.0,0.0001,vgg16-7,1.0,,,4704.0,145824.0,150528.0,3.125,random
138.0,onnx/vgg16-7.onnx,vnnlib/n01530575_brambling_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.7239816188812256,6.94473934173584,0.0,n01530575_brambling,fix_mask,0.0,1568.0,0.0001,vgg16-7,0.0,0.811788022518158,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
144.0,onnx/vgg16-7.onnx,vnnlib/n01530575_brambling_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.726876735687256,6.900540113449097,0.0,n01530575_brambling,fix_nonmask,0.0,1568.0,0.0001,vgg16-7,0.0,0.811788022518158,"[0, 0, 223, 223]",4704.0,145824.0,150528.0,3.125,random
3.0,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k12544_eps_0.0001.vnnlib,1200.0,unsat False,1.815691351890564,0.0,683.1038513183594,695.6067080497742,0.0,n01443537_goldfish,global,-1.0,12544.0,0.0001,vgg16-7,1.0,,,37632.0,112896.0,150528.0,25.0,random
9.0,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200.0,unsat False,1.8305037021636963,0.0,612.0742273330688,619.6856639385223,0.0,n01443537_goldfish,fix_mask,0.0,12544.0,0.0001,vgg16-7,0.0,0.8230918645858765,"[0, 1, 223, 222]",28149.0,122379.0,150528.0,18.70017538265306,random
15.0,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k12544_eps_0.0001.vnnlib,1200.0,unsat False,1.8206899166107176,0.0,665.1900978088379,677.7817070484161,0.0,n01443537_goldfish,fix_nonmask,0.0,12544.0,0.0001,vgg16-7,0.0,0.8230918645858765,"[0, 1, 223, 222]",37632.0,112896.0,150528.0,25.0,random
21.0,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k12544_eps_0.0001.vnnlib,1200.0,sat True,,,,5.524754524230957,0.0,n01484850_great_white_shark,global,-1.0,12544.0,0.0001,vgg16-7,1.0,,,37632.0,112896.0,150528.0,25.0,random
27.0,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200.0,sat False,-inf,,1.6773786544799805,6.754077911376953,0.0,n01484850_great_white_shark,fix_mask,0.0,12544.0,0.0001,vgg16-7,0.0,0.903913676738739,"[0, 0, 223, 223]",14712.0,135816.0,150528.0,9.77359693877551,random
33.0,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k12544_eps_0.0001.vnnlib,1200.0,sat True,,,,7.500551223754883,0.0,n01484850_great_white_shark,fix_nonmask,0.0,12544.0,0.0001,vgg16-7,0.0,0.903913676738739,"[0, 0, 223, 223]",37632.0,112896.0,150528.0,25.0,random
39.0,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k12544_eps_0.0001.vnnlib,1200.0,unsat False,0.5387461185455322,0.0,688.2320783138275,701.4362599849701,0.0,n01491361_tiger_shark,global,-1.0,12544.0,0.0001,vgg16-7,1.0,,,37632.0,112896.0,150528.0,25.0,random
45.0,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200.0,unsat False,0.5644792318344116,0.0,545.4099979400635,550.5693325996399,0.0,n01491361_tiger_shark,fix_mask,0.0,12544.0,0.0001,vgg16-7,0.0,0.9602170586586,"[0, 0, 223, 223]",3693.0,146835.0,150528.0,2.4533641581632653,random
51.0,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k12544_eps_0.0001.vnnlib,1200.0,unsat False,0.5401151180267334,0.0,738.1009969711304,751.1394138336182,0.0,n01491361_tiger_shark,fix_nonmask,0.0,12544.0,0.0001,vgg16-7,0.0,0.9602170586586,"[0, 0, 223, 223]",37632.0,112896.0,150528.0,25.0,random
57.0,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k12544_eps_0.0001.vnnlib,1200.0,unsat False,0.078924223780632,0.0,745.8106977939606,758.7397773265839,0.0,n01496331_electric_ray,global,-1.0,12544.0,0.0001,vgg16-7,1.0,,,37632.0,112896.0,150528.0,25.0,random
