image,k,eps,segment_index,model,onnx,fix_mask_row_index,fix_nonmask_row_index,fix_mask_old_result,fix_mask_new_result,fix_nonmask_old_result,fix_nonmask_new_result,result_differed,fix_mask_old_bab_time,fix_mask_new_bab_time,fix_nonmask_old_bab_time,fix_nonmask_new_bab_time,bab_time_differed,fix_mask_old_all_time,fix_mask_new_all_time,fix_nonmask_old_all_time,fix_nonmask_new_all_time,all_time_differed,any_swapped_value_changed
n01518878_ostrich,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,19,20,sat False,sat False,sat False,sat False,False,1.810232162475586,1.2871761322021484,1.2871761322021484,1.810232162475586,True,7.003755807876587,6.444829940795898,6.444829940795898,7.003755807876587,True,True
n01518878_ostrich,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,67,68,sat False,sat False,sat False,sat False,False,2.0233912467956543,2.141563653945923,2.141563653945923,2.0233912467956543,True,7.233953475952148,7.375757455825806,7.375757455825806,7.233953475952148,True,True
n01518878_ostrich,6272.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,139,140,sat False,sat True,sat True,sat False,True,0.8710827827453613,,,0.8710827827453613,True,5.859720945358276,5.491369962692261,5.491369962692261,5.859720945358276,True,True
n01518878_ostrich,12544.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,43,44,sat False,sat True,sat True,sat False,True,1.477886199951172,,,1.477886199951172,True,6.626713752746582,5.483930349349976,5.483930349349976,6.626713752746582,True,True
n01518878_ostrich,25088.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,91,92,sat True,sat True,sat True,sat True,False,,,,,False,5.37790846824646,5.618869781494141,5.618869781494141,5.37790846824646,True,True
n01518878_ostrich,50176.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,115,116,sat True,sat True,sat True,sat True,False,,,,,False,5.510357856750488,5.507107257843018,5.507107257843018,5.510357856750488,True,True
n01531178_goldfinch,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,2017,2018,sat False,sat False,sat False,sat False,False,1.9882421493530271,1.7659668922424316,1.7659668922424316,1.9882421493530271,True,7.546809434890747,7.223196506500244,7.223196506500244,7.546809434890747,True,True
n01531178_goldfinch,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1956,1957,sat False,sat False,sat False,sat False,False,1.9837653636932373,1.9462511539459229,1.9462511539459229,1.9837653636932373,True,7.512181043624878,7.475342273712158,7.475342273712158,7.512181043624878,True,True
n01531178_goldfinch,6272.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1926,1927,sat False,sat True,sat True,sat False,True,2.288175582885742,,,2.288175582885742,True,7.63649845123291,5.659579515457153,5.659579515457153,7.63649845123291,True,True
n01531178_goldfinch,12544.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1896,1897,sat False,sat True,sat True,sat False,True,2.0194573402404785,,,2.0194573402404785,True,7.378084897994995,5.697653770446777,5.697653770446777,7.378084897994995,True,True
n01531178_goldfinch,25088.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,2046,2047,sat True,sat True,sat True,sat True,False,,,,,False,5.933544874191284,5.499202728271484,5.499202728271484,5.933544874191284,True,True
n01531178_goldfinch,50176.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1986,1987,sat True,sat True,sat True,sat True,False,,,,,False,5.767087459564209,5.632990121841431,5.632990121841431,5.767087459564209,True,True
n01532829_house_finch,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,2020,2021,unsat False,unsat False,unsat False,unsat False,False,628.9671947956085,656.4953064918518,656.4953064918518,628.9671947956085,True,634.2215113639832,661.6844034194946,661.6844034194946,634.2215113639832,True,True
n01532829_house_finch,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1959,1960,unsat False,unsat False,unsat False,unsat False,False,640.7620334625244,694.0682461261749,694.0682461261749,640.7620334625244,True,646.0925545692444,699.7518124580383,699.7518124580383,646.0925545692444,True,True
n01532829_house_finch,6272.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1929,1930,unsat False,unsat False,unsat False,unsat False,False,676.2190892696381,720.1377599239349,720.1377599239349,676.2190892696381,True,681.5289514064789,733.3756356239319,733.3756356239319,681.5289514064789,True,True
n01532829_house_finch,12544.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1899,1900,unsat False,unsat False,unsat False,unsat False,False,702.8163509368896,750.789555311203,750.789555311203,702.8163509368896,True,716.0041184425354,763.9817464351654,763.9817464351654,716.0041184425354,True,True
n01532829_house_finch,25088.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,2049,2050,unsat False,unsat False,unsat False,unsat False,False,736.978630065918,803.4071755409241,803.4071755409241,736.978630065918,True,750.2294178009033,816.8670241832733,816.8670241832733,750.2294178009033,True,True
n01532829_house_finch,50176.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,1989,1990,unsat False,timeout False,timeout False,unsat False,True,791.1375708580017,3314.7267594337463,3314.7267594337463,791.1375708580017,True,804.3687837123871,3327.983526706696,3327.983526706696,804.3687837123871,True,True
n01537544_indigo_bunting,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,2026,2027,unsat False,unsat False,unsat False,unsat False,False,641.853698015213,642.9839084148407,642.9839084148407,641.853698015213,True,647.5572054386139,648.1666100025177,648.1666100025177,647.5572054386139,True,True
