instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
1,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,45.19492864608765,0,n01871265_tusker,global,-1,50176,0.0001,vgg16-7,True,,,150528,0,150528,100.0,random
2,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_global_k25088_eps_0.0001.vnnlib,1200,sat True,,,,43.426403760910034,0,n01871265_tusker,global,-1,25088,0.0001,vgg16-7,True,,,75264,75264,150528,50.0,random
3,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_global_k12544_eps_0.0001.vnnlib,1200,sat True,,,,43.49545168876648,0,n01871265_tusker,global,-1,12544,0.0001,vgg16-7,True,,,37632,112896,150528,25.0,random
4,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_global_k6272_eps_0.0001.vnnlib,1200,sat True,,,,40.05072474479675,0,n01871265_tusker,global,-1,6272,0.0001,vgg16-7,True,,,18816,131712,150528,12.5,random
5,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,0.9267597198486328,41.18020296096802,0,n01871265_tusker,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
6,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.0455973148345947,41.646326541900635,0,n01871265_tusker,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
7,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_mask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,40.44697976112366,0,n01871265_tusker,fix_mask,0,50176,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",57981,92547,150528,38.51841517857143,random
8,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_mask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,42.60472822189331,0,n01871265_tusker,fix_mask,0,25088,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",57981,92547,150528,38.51841517857143,random
9,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_mask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,40.90515327453613,0,n01871265_tusker,fix_mask,0,12544,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",37632,112896,150528,25.0,random
10,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_mask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,38.34427833557129,0,n01871265_tusker,fix_mask,0,6272,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",18816,131712,150528,12.5,random
11,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,3.286578893661499,42.42110109329224,0,n01871265_tusker,fix_mask,0,3136,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",9408,141120,150528,6.25,random
12,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_mask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.1344778537750244,40.591097593307495,0,n01871265_tusker,fix_mask,0,1568,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",4704,145824,150528,3.125,random
13,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_nonmask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,40.14484667778015,0,n01871265_tusker,fix_nonmask,0,50176,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",92547,57981,150528,61.48158482142857,random
14,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_nonmask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,38.31650710105896,0,n01871265_tusker,fix_nonmask,0,25088,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",75264,75264,150528,50.0,random
15,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_nonmask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,38.06597018241882,0,n01871265_tusker,fix_nonmask,0,12544,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",37632,112896,150528,25.0,random
16,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_nonmask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,41.03672528266907,0,n01871265_tusker,fix_nonmask,0,6272,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",18816,131712,150528,12.5,random
17,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.844956398010254,46.30549478530884,0,n01871265_tusker,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",9408,141120,150528,6.25,random
18,onnx/vgg16-7.onnx,vnnlib/n01871265_tusker_fix_nonmask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,3.314103126525879,39.94798827171326,0,n01871265_tusker,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.7893670201301575,"[0, 0, 223, 220]",4704,145824,150528,3.125,random
19,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,42.7796471118927,0,n01872401_echidna,global,-1,50176,0.0001,vgg16-7,True,,,150528,0,150528,100.0,random
20,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_global_k25088_eps_0.0001.vnnlib,1200,sat True,,,,41.03869867324829,0,n01872401_echidna,global,-1,25088,0.0001,vgg16-7,True,,,75264,75264,150528,50.0,random
21,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_global_k12544_eps_0.0001.vnnlib,1200,sat True,,,,41.67743444442749,0,n01872401_echidna,global,-1,12544,0.0001,vgg16-7,True,,,37632,112896,150528,25.0,random
22,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_global_k6272_eps_0.0001.vnnlib,1200,sat True,,,,40.459879875183105,0,n01872401_echidna,global,-1,6272,0.0001,vgg16-7,True,,,18816,131712,150528,12.5,random
23,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.9845502376556396,44.46089792251587,0,n01872401_echidna,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
24,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.9914114475250244,43.06045055389404,0,n01872401_echidna,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
25,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_mask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,42.60815119743347,0,n01872401_echidna,fix_mask,0,50176,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",54531,95997,150528,36.22648278061224,random
26,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_mask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,42.52745056152344,0,n01872401_echidna,fix_mask,0,25088,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",54531,95997,150528,36.22648278061224,random
27,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_mask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,42.49633741378784,0,n01872401_echidna,fix_mask,0,12544,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",37632,112896,150528,25.0,random
28,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_mask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,42.589388847351074,0,n01872401_echidna,fix_mask,0,6272,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",18816,131712,150528,12.5,random
29,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.9257543087005615,43.35524010658264,0,n01872401_echidna,fix_mask,0,3136,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
30,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_mask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,2.016695261001587,41.074243783950806,0,n01872401_echidna,fix_mask,0,1568,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
31,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_nonmask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,40.434836626052856,0,n01872401_echidna,fix_nonmask,0,50176,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",95997,54531,150528,63.77351721938776,random
32,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_nonmask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,41.74641823768616,0,n01872401_echidna,fix_nonmask,0,25088,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",75264,75264,150528,50.0,random
33,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_nonmask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,37.62757849693298,0,n01872401_echidna,fix_nonmask,0,12544,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",37632,112896,150528,25.0,random
34,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_nonmask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,36.15361261367798,0,n01872401_echidna,fix_nonmask,0,6272,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",18816,131712,150528,12.5,random
35,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.0112431049346924,41.76516675949097,0,n01872401_echidna,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
36,onnx/vgg16-7.onnx,vnnlib/n01872401_echidna_fix_nonmask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.0334463119506836,37.153117418289185,0,n01872401_echidna,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.8836685419082642,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
37,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,36.58818173408508,0,n01873310_platypus,global,-1,50176,0.0001,vgg16-7,True,,,150528,0,150528,100.0,random
38,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_global_k25088_eps_0.0001.vnnlib,1200,sat True,,,,35.491076946258545,0,n01873310_platypus,global,-1,25088,0.0001,vgg16-7,True,,,75264,75264,150528,50.0,random
39,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_global_k12544_eps_0.0001.vnnlib,1200,sat True,,,,37.65104269981384,0,n01873310_platypus,global,-1,12544,0.0001,vgg16-7,True,,,37632,112896,150528,25.0,random
40,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_global_k6272_eps_0.0001.vnnlib,1200,unsat False,0.0029883682727813,0.0,592.0496928691864,636.4565234184265,0,n01873310_platypus,global,-1,6272,0.0001,vgg16-7,True,,,18816,131712,150528,12.5,random
41,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_global_k3136_eps_0.0001.vnnlib,1200,unsat False,0.0055082440376281,0.0,547.4485011100769,583.9276142120361,0,n01873310_platypus,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
42,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_global_k1568_eps_0.0001.vnnlib,1200,unsat False,0.0066180229187011,0.0,533.7138996124268,574.8472452163696,0,n01873310_platypus,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
43,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_mask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,37.31541848182678,0,n01873310_platypus,fix_mask,0,50176,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",73233,77295,150528,48.650749362244895,random
44,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_mask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,38.419471740722656,0,n01873310_platypus,fix_mask,0,25088,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",73233,77295,150528,48.650749362244895,random
45,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_mask_seg0_k12544_eps_0.0001.vnnlib,1200,timeout False,-0.0026341378688812,3.0,1832.0254173278809,1880.2588412761688,0,n01873310_platypus,fix_mask,0,12544,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",37632,112896,150528,25.0,random
46,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_mask_seg0_k6272_eps_0.0001.vnnlib,1200,unsat False,0.0033445358276367,0.0,576.1079931259155,620.4976501464844,0,n01873310_platypus,fix_mask,0,6272,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",18816,131712,150528,12.5,random
47,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.0056484341621398,0.0,551.5646767616272,586.5358374118805,0,n01873310_platypus,fix_mask,0,3136,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
48,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_mask_seg0_k1568_eps_0.0001.vnnlib,1200,unsat False,0.0066381096839904,0.0,530.7809493541718,568.4585502147675,0,n01873310_platypus,fix_mask,0,1568,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
49,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_nonmask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,37.17331004142761,0,n01873310_platypus,fix_nonmask,0,50176,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",77295,73233,150528,51.349250637755105,random
50,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_nonmask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,39.73752522468567,0,n01873310_platypus,fix_nonmask,0,25088,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",75264,75264,150528,50.0,random
51,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_nonmask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,37.99312901496887,0,n01873310_platypus,fix_nonmask,0,12544,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",37632,112896,150528,25.0,random
52,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_nonmask_seg0_k6272_eps_0.0001.vnnlib,1200,unsat False,0.0026371479034423,0.0,583.0053193569183,628.0279355049133,0,n01873310_platypus,fix_nonmask,0,6272,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",18816,131712,150528,12.5,random
53,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.0053580999374389,0.0,545.8744242191315,582.3499834537506,0,n01873310_platypus,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
54,onnx/vgg16-7.onnx,vnnlib/n01873310_platypus_fix_nonmask_seg0_k1568_eps_0.0001.vnnlib,1200,unsat False,0.0065230727195739,0.0,548.8492696285248,585.017758846283,0,n01873310_platypus,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.7479422688484192,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
55,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,37.135703802108765,0,n01877812_wallaby,global,-1,50176,0.0001,vgg16-7,True,,,150528,0,150528,100.0,random
56,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_global_k25088_eps_0.0001.vnnlib,1200,sat True,,,,37.65088176727295,0,n01877812_wallaby,global,-1,25088,0.0001,vgg16-7,True,,,75264,75264,150528,50.0,random
57,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_global_k12544_eps_0.0001.vnnlib,1200,sat True,,,,36.58321571350098,0,n01877812_wallaby,global,-1,12544,0.0001,vgg16-7,True,,,37632,112896,150528,25.0,random
58,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_global_k6272_eps_0.0001.vnnlib,1200,sat True,,,,37.0572190284729,0,n01877812_wallaby,global,-1,6272,0.0001,vgg16-7,True,,,18816,131712,150528,12.5,random
59,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.54386568069458,37.7655189037323,0,n01877812_wallaby,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
60,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.815744400024414,37.58522319793701,0,n01877812_wallaby,global,-1,1568,0.0001,vgg16-7,True,,,4704,145824,150528,3.125,random
61,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_mask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,36.129517555236816,0,n01877812_wallaby,fix_mask,0,50176,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",10011,140517,150528,6.650589923469388,random
62,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_mask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,37.19353199005127,0,n01877812_wallaby,fix_mask,0,25088,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",10011,140517,150528,6.650589923469388,random
63,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_mask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,36.754438161849976,0,n01877812_wallaby,fix_mask,0,12544,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",10011,140517,150528,6.650589923469388,random
64,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_mask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,36.38409733772278,0,n01877812_wallaby,fix_mask,0,6272,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",10011,140517,150528,6.650589923469388,random
65,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.7708044052124023,38.08761262893677,0,n01877812_wallaby,fix_mask,0,3136,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
66,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_mask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,1.3311357498168943,36.273234367370605,0,n01877812_wallaby,fix_mask,0,1568,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
67,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_nonmask_seg0_k50176_eps_0.0001.vnnlib,1200,sat True,,,,35.3523690700531,0,n01877812_wallaby,fix_nonmask,0,50176,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",140517,10011,150528,93.34941007653062,random
68,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_nonmask_seg0_k25088_eps_0.0001.vnnlib,1200,sat True,,,,37.35221552848816,0,n01877812_wallaby,fix_nonmask,0,25088,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",75264,75264,150528,50.0,random
69,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_nonmask_seg0_k12544_eps_0.0001.vnnlib,1200,sat True,,,,35.720038414001465,0,n01877812_wallaby,fix_nonmask,0,12544,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",37632,112896,150528,25.0,random
70,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_nonmask_seg0_k6272_eps_0.0001.vnnlib,1200,sat True,,,,37.98331570625305,0,n01877812_wallaby,fix_nonmask,0,6272,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",18816,131712,150528,12.5,random
71,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.5928676128387451,39.186307430267334,0,n01877812_wallaby,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
72,onnx/vgg16-7.onnx,vnnlib/n01877812_wallaby_fix_nonmask_seg0_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,,3.2940778732299805,40.626060962677,0,n01877812_wallaby,fix_nonmask,0,1568,0.0001,vgg16-7,False,0.7631836533546448,"[0, 0, 223, 223]",4704,145824,150528,3.125,random
73,onnx/vgg16-7.onnx,vnnlib/n01882714_koala_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,37.74089479446411,0,n01882714_koala,global,-1,50176,0.0001,vgg16-7,True,,,150528,0,150528,100.0,random
74,onnx/vgg16-7.onnx,vnnlib/n01882714_koala_global_k25088_eps_0.0001.vnnlib,1200,sat True,,,,35.813429832458496,0,n01882714_koala,global,-1,25088,0.0001,vgg16-7,True,,,75264,75264,150528,50.0,random
75,onnx/vgg16-7.onnx,vnnlib/n01882714_koala_global_k12544_eps_0.0001.vnnlib,1200,sat True,,,,38.22424268722534,0,n01882714_koala,global,-1,12544,0.0001,vgg16-7,True,,,37632,112896,150528,25.0,random
