instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable,image,tag,segment_index,k,eps,model,is_global,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
5,onnx/vgg16-7.onnx,vnnlib/n02110341_dalmatian_global_k3136_eps_0.0001.vnnlib,1200,unsat False,0.8934639692306519,0.0,507.86928844451904,549.348566532135,0,n02110341_dalmatian,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
11,onnx/vgg16-7.onnx,vnnlib/n02110341_dalmatian_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.893575131893158,0.0,509.4636828899383,552.0973103046417,0,n02110341_dalmatian,fix_mask,0,3136,0.0001,vgg16-7,False,0.897122323513031,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
17,onnx/vgg16-7.onnx,vnnlib/n02110341_dalmatian_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.8934072852134705,0.0,515.4199831485748,551.6170711517334,0,n02110341_dalmatian,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.897122323513031,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
23,onnx/vgg16-7.onnx,vnnlib/n02110627_affenpinscher_global_k3136_eps_0.0001.vnnlib,1200,unsat False,0.7244616150856018,0.0,496.45756244659424,537.933819770813,0,n02110627_affenpinscher,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
29,onnx/vgg16-7.onnx,vnnlib/n02110627_affenpinscher_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.7246394753456116,0.0,497.63387799263,539.4029400348663,0,n02110627_affenpinscher,fix_mask,0,3136,0.0001,vgg16-7,False,0.918785810470581,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
35,onnx/vgg16-7.onnx,vnnlib/n02110627_affenpinscher_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.724348783493042,0.0,495.6598346233368,539.8227066993713,0,n02110627_affenpinscher,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.918785810470581,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
41,onnx/vgg16-7.onnx,vnnlib/n02110806_basenji_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.7764062881469729,36.81878662109375,0,n02110806_basenji,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
47,onnx/vgg16-7.onnx,vnnlib/n02110806_basenji_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.8344676494598389,39.86413788795471,0,n02110806_basenji,fix_mask,0,3136,0.0001,vgg16-7,False,0.8429379463195801,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
53,onnx/vgg16-7.onnx,vnnlib/n02110806_basenji_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.7984111309051514,36.54813551902771,0,n02110806_basenji,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.8429379463195801,"[0, 0, 223, 223]",9408,141120,150528,6.25,random
59,onnx/vgg16-7.onnx,vnnlib/n02110958_pug_global_k3136_eps_0.0001.vnnlib,1200,unsat False,0.3386552929878235,0.0,557.807205915451,592.112256526947,0,n02110958_pug,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
65,onnx/vgg16-7.onnx,vnnlib/n02110958_pug_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.3387563526630401,0.0,559.3267307281494,594.3620285987854,0,n02110958_pug,fix_mask,0,3136,0.0001,vgg16-7,False,0.8980503082275391,"[0, 1, 223, 223]",9408,141120,150528,6.25,random
71,onnx/vgg16-7.onnx,vnnlib/n02110958_pug_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,unsat False,0.3386046290397644,0.0,562.5211820602417,597.6692371368408,0,n02110958_pug,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.8980503082275391,"[0, 1, 223, 223]",9408,141120,150528,6.25,random
77,onnx/vgg16-7.onnx,vnnlib/n02111129_Leonberg_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.729065179824829,36.45757269859314,0,n02111129_Leonberg,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
83,onnx/vgg16-7.onnx,vnnlib/n02111129_Leonberg_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.0170893669128418,35.715508699417114,0,n02111129_Leonberg,fix_mask,0,3136,0.0001,vgg16-7,False,0.7671525478363037,"[0, 0, 223, 222]",9408,141120,150528,6.25,random
89,onnx/vgg16-7.onnx,vnnlib/n02111129_Leonberg_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,0.8914141654968262,36.75979399681091,0,n02111129_Leonberg,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.7671525478363037,"[0, 0, 223, 222]",9408,141120,150528,6.25,random
95,onnx/vgg16-7.onnx,vnnlib/n02111277_Newfoundland_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.703261375427246,38.1248471736908,0,n02111277_Newfoundland,global,-1,3136,0.0001,vgg16-7,True,,,9408,141120,150528,6.25,random
101,onnx/vgg16-7.onnx,vnnlib/n02111277_Newfoundland_fix_mask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.1627624034881592,36.07432246208191,0,n02111277_Newfoundland,fix_mask,0,3136,0.0001,vgg16-7,False,0.9384971857070924,"[0, 6, 223, 223]",9408,141120,150528,6.25,random
107,onnx/vgg16-7.onnx,vnnlib/n02111277_Newfoundland_fix_nonmask_seg0_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,,1.6103672981262207,37.99248552322388,0,n02111277_Newfoundland,fix_nonmask,0,3136,0.0001,vgg16-7,False,0.9384971857070924,"[0, 6, 223, 223]",9408,141120,150528,6.25,random
