image,tag,is_global,segment_index,eps,k,score,bbox,num_changed,num_fixed,total,percent_changed,pattern
n01614925_bald_eagle,n01614925_bald_eagle_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global
n01614925_bald_eagle,n01614925_bald_eagle_global,True,-1,0.0001,25088,,,75264,75264,150528,50.0,global
n01614925_bald_eagle,n01614925_bald_eagle_global,True,-1,0.0001,12544,,,37632,112896,150528,25.0,global
n01614925_bald_eagle,n01614925_bald_eagle_global,True,-1,0.0001,6272,,,18816,131712,150528,12.5,global
n01614925_bald_eagle,n01614925_bald_eagle_global,True,-1,0.0001,3136,,,9408,141120,150528,6.25,global
n01614925_bald_eagle,n01614925_bald_eagle_global,True,-1,0.0001,1568,,,4704,145824,150528,3.125,global
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixmask,False,0,0.0001,50176,0.8723838329315186,"[0, 0, 222, 223]",1500,149028,150528,0.9964923469387755,fix_mask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixmask,False,0,0.0001,25088,0.8723838329315186,"[0, 0, 222, 223]",750,149778,150528,0.49824617346938777,fix_mask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixmask,False,0,0.0001,12544,0.8723838329315186,"[0, 0, 222, 223]",375,150153,150528,0.24912308673469388,fix_mask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixmask,False,0,0.0001,6272,0.8723838329315186,"[0, 0, 222, 223]",186,150342,150528,0.12356505102040816,fix_mask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixmask,False,0,0.0001,3136,0.8723838329315186,"[0, 0, 222, 223]",93,150435,150528,0.06178252551020408,fix_mask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixmask,False,0,0.0001,1568,0.8723838329315186,"[0, 0, 222, 223]",48,150480,150528,0.03188775510204082,fix_mask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixnonmask,False,0,0.0001,50176,0.8723838329315186,"[0, 0, 222, 223]",149028,1500,150528,99.00350765306122,fix_nonmask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixnonmask,False,0,0.0001,25088,0.8723838329315186,"[0, 0, 222, 223]",74514,76014,150528,49.50175382653061,fix_nonmask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixnonmask,False,0,0.0001,12544,0.8723838329315186,"[0, 0, 222, 223]",37257,113271,150528,24.750876913265305,fix_nonmask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixnonmask,False,0,0.0001,6272,0.8723838329315186,"[0, 0, 222, 223]",18630,131898,150528,12.376434948979592,fix_nonmask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixnonmask,False,0,0.0001,3136,0.8723838329315186,"[0, 0, 222, 223]",9315,141213,150528,6.188217474489796,fix_nonmask
n01614925_bald_eagle,n01614925_bald_eagle_seg0_fixnonmask,False,0,0.0001,1568,0.8723838329315186,"[0, 0, 222, 223]",4656,145872,150528,3.0931122448979593,fix_nonmask
n01622779_great_grey_owl,n01622779_great_grey_owl_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global
n01622779_great_grey_owl,n01622779_great_grey_owl_global,True,-1,0.0001,25088,,,75264,75264,150528,50.0,global
n01622779_great_grey_owl,n01622779_great_grey_owl_global,True,-1,0.0001,12544,,,37632,112896,150528,25.0,global
n01622779_great_grey_owl,n01622779_great_grey_owl_global,True,-1,0.0001,6272,,,18816,131712,150528,12.5,global
n01622779_great_grey_owl,n01622779_great_grey_owl_global,True,-1,0.0001,3136,,,9408,141120,150528,6.25,global
n01622779_great_grey_owl,n01622779_great_grey_owl_global,True,-1,0.0001,1568,,,4704,145824,150528,3.125,global
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixmask,False,0,0.0001,50176,0.8808696269989014,"[0, 0, 223, 223]",26727,123801,150528,17.7555006377551,fix_mask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixmask,False,0,0.0001,25088,0.8808696269989014,"[0, 0, 223, 223]",13362,137166,150528,8.876753826530612,fix_mask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixmask,False,0,0.0001,12544,0.8808696269989014,"[0, 0, 223, 223]",6681,143847,150528,4.438376913265306,fix_mask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixmask,False,0,0.0001,6272,0.8808696269989014,"[0, 0, 223, 223]",3342,147186,150528,2.220184948979592,fix_mask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixmask,False,0,0.0001,3136,0.8808696269989014,"[0, 0, 223, 223]",1671,148857,150528,1.110092474489796,fix_mask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixmask,False,0,0.0001,1568,0.8808696269989014,"[0, 0, 223, 223]",834,149694,150528,0.5540497448979592,fix_mask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixnonmask,False,0,0.0001,50176,0.8808696269989014,"[0, 0, 223, 223]",123801,26727,150528,82.2444993622449,fix_nonmask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixnonmask,False,0,0.0001,25088,0.8808696269989014,"[0, 0, 223, 223]",61902,88626,150528,41.12324617346939,fix_nonmask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixnonmask,False,0,0.0001,12544,0.8808696269989014,"[0, 0, 223, 223]",30951,119577,150528,20.561623086734695,fix_nonmask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixnonmask,False,0,0.0001,6272,0.8808696269989014,"[0, 0, 223, 223]",15474,135054,150528,10.279815051020408,fix_nonmask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixnonmask,False,0,0.0001,3136,0.8808696269989014,"[0, 0, 223, 223]",7737,142791,150528,5.139907525510204,fix_nonmask
n01622779_great_grey_owl,n01622779_great_grey_owl_seg0_fixnonmask,False,0,0.0001,1568,0.8808696269989014,"[0, 0, 223, 223]",3870,146658,150528,2.5709502551020407,fix_nonmask
n01629819_European_fire_salamander,n01629819_European_fire_salamander_global,True,-1,0.0001,50176,,,150528,0,150528,100.0,global
n01629819_European_fire_salamander,n01629819_European_fire_salamander_global,True,-1,0.0001,25088,,,75264,75264,150528,50.0,global
n01629819_European_fire_salamander,n01629819_European_fire_salamander_global,True,-1,0.0001,12544,,,37632,112896,150528,25.0,global
n01629819_European_fire_salamander,n01629819_European_fire_salamander_global,True,-1,0.0001,6272,,,18816,131712,150528,12.5,global
n01629819_European_fire_salamander,n01629819_European_fire_salamander_global,True,-1,0.0001,3136,,,9408,141120,150528,6.25,global
n01629819_European_fire_salamander,n01629819_European_fire_salamander_global,True,-1,0.0001,1568,,,4704,145824,150528,3.125,global
