instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k50176_eps_0.0001.vnnlib,1200,timeout False,-0.4341198801994324,3,2339.243937253952,2354.8140716552734,0
2,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k25088_eps_0.0001.vnnlib,1200,unsat False,1.772545337677002,0,693.5761139392853,706.9361367225647,0
3,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k12544_eps_0.0001.vnnlib,1200,unsat False,1.815691351890564,0,683.1038513183594,695.6067080497742,0
4,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k6272_eps_0.0001.vnnlib,1200,unsat False,1.826240062713623,0,641.8298645019531,654.4428906440735,0
5,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k3136_eps_0.0001.vnnlib,1200,unsat False,1.8301323652267456,0,616.5604863166809,621.7246763706207,0
6,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_global_k1568_eps_0.0001.vnnlib,1200,unsat False,1.8318383693695068,0,573.0279188156128,579.169224023819,0
7,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200,unsat False,1.8189048767089844,0,660.304429769516,674.0476970672607,0
8,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k25088_eps_0.0001.vnnlib,1200,unsat False,1.827362298965454,0,624.3532729148865,638.0305931568146,0
9,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200,unsat False,1.8305037021636963,0,612.0742273330688,619.6856639385223,0
10,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k6272_eps_0.0001.vnnlib,1200,unsat False,1.8320603370666504,0,578.4628577232361,583.648665189743,0
11,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k3136_eps_0.0001.vnnlib,1200,unsat False,1.8327114582061768,0,586.9017376899719,592.1113560199738,0
12,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,unsat False,1.8330774307250977,0,583.5873215198517,588.6523382663727,0
13,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k50176_eps_0.0001.vnnlib,1200,unsat False,1.4944889545440674,0,734.4480516910553,747.0506720542908,0
14,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k25088_eps_0.0001.vnnlib,1200,unsat False,1.7963032722473145,0,680.4702341556549,693.4899504184723,0
15,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k12544_eps_0.0001.vnnlib,1200,unsat False,1.8206899166107178,0,665.1900978088379,677.7817070484161,0
16,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k6272_eps_0.0001.vnnlib,1200,unsat False,1.8280067443847656,0,631.8853342533112,644.5929872989655,0
17,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k3136_eps_0.0001.vnnlib,1200,unsat False,1.8309173583984375,0,596.4097142219543,601.578864812851,0
18,onnx/vgg16-7.onnx,vnnlib/n01443537_goldfish_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,unsat False,1.8321853876113892,0,579.4655191898346,584.483362197876,0
19,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k50176_eps_0.0001.vnnlib,1200,sat True,,,,5.346689224243164,0
20,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k25088_eps_0.0001.vnnlib,1200,sat True,,,,5.538731575012207,0
21,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k12544_eps_0.0001.vnnlib,1200,sat True,,,,5.524754524230957,0
22,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k6272_eps_0.0001.vnnlib,1200,sat True,,,,5.3457982540130615,0
23,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.7523062229156494,6.837556600570679,0
24,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_global_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.6820125579833984,6.717511415481567,0
25,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200,sat True,,,,5.437159538269043,0
26,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k25088_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.6875295639038086,6.815135955810547,0
27,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.6773786544799805,6.754077911376953,0
28,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k6272_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.7596263885498047,6.959851503372192,0
29,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.746678352355957,6.793469667434692,0
30,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.7406189441680908,6.98491096496582,0
31,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k50176_eps_0.0001.vnnlib,1200,sat True,,,,5.360863447189331,0
32,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k25088_eps_0.0001.vnnlib,1200,sat True,,,,5.403491258621216,0
33,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k12544_eps_0.0001.vnnlib,1200,sat True,,,,7.500551223754883,0
34,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k6272_eps_0.0001.vnnlib,1200,sat True,,,,5.306325912475586,0
35,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k3136_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.396486759185791,6.560077428817749,0
36,onnx/vgg16-7.onnx,vnnlib/n01484850_great_white_shark_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,sat False,-inf,None,1.2874877452850342,6.459707498550415,0
37,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k50176_eps_0.0001.vnnlib,1200,timeout False,-805926.75,3,4144.68217754364,4157.327424287796,0
38,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k25088_eps_0.0001.vnnlib,1200,timeout False,-0.9213818907737732,3,2348.2661588191986,2360.9840445518494,0
39,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k12544_eps_0.0001.vnnlib,1200,unsat False,0.5387461185455322,0,688.2320783138275,701.4362599849701,0
40,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k6272_eps_0.0001.vnnlib,1200,unsat False,0.5570738315582275,0,663.3336718082428,675.9456715583801,0
41,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k3136_eps_0.0001.vnnlib,1200,unsat False,0.5616589188575745,0,637.0945451259613,642.0762116909027,0
42,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_global_k1568_eps_0.0001.vnnlib,1200,unsat False,0.5633188486099243,0,601.6587500572205,606.7666845321655,0
43,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200,unsat False,0.5631434917449951,0,589.063716173172,594.2265615463257,0
44,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k25088_eps_0.0001.vnnlib,1200,unsat False,0.5640005469322205,0,570.4224734306335,575.4224348068237,0
45,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200,unsat False,0.5644792318344116,0,545.4099979400635,550.5693325996399,0
46,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k6272_eps_0.0001.vnnlib,1200,unsat False,0.5646010041236877,0,542.348685503006,547.8367233276367,0
47,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k3136_eps_0.0001.vnnlib,1200,unsat False,0.5647112131118774,0,513.9443123340607,518.9891333580017,0
48,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,unsat False,0.5647774934768677,0,495.4242458343506,500.61453771591187,0
49,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k50176_eps_0.0001.vnnlib,1200,timeout False,-700393.6875,3,4662.09986448288,4678.4971351623535,0
50,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k25088_eps_0.0001.vnnlib,1200,timeout False,-0.5574544668197632,3,2515.0893819332123,2528.3659539222717,0
51,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k12544_eps_0.0001.vnnlib,1200,unsat False,0.5401151180267334,0,738.1009969711304,751.1394138336182,0
52,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k6272_eps_0.0001.vnnlib,1200,unsat False,0.557437539100647,0,699.6074259281158,712.7973082065582,0
53,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k3136_eps_0.0001.vnnlib,1200,unsat False,0.5617905855178833,0,670.6998617649078,675.8946936130524,0
54,onnx/vgg16-7.onnx,vnnlib/n01491361_tiger_shark_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,unsat False,0.5633621215820312,0,638.23974609375,643.3086216449738,0
55,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k50176_eps_0.0001.vnnlib,1200,timeout False,-203.9102325439453,3,2865.781301021576,2878.6892437934875,0
56,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k25088_eps_0.0001.vnnlib,1200,unsat False,0.03659561276435852,0,767.0097026824951,779.9624676704407,0
57,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k12544_eps_0.0001.vnnlib,1200,unsat False,0.07892422378063202,0,745.8106977939606,758.7397773265839,0
58,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k6272_eps_0.0001.vnnlib,1200,unsat False,0.08780454099178314,0,723.2689809799194,736.3576769828796,0
59,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k3136_eps_0.0001.vnnlib,1200,unsat False,0.09105709195137024,0,667.6393234729767,672.6444511413574,0
60,onnx/vgg16-7.onnx,vnnlib/n01496331_electric_ray_global_k1568_eps_0.0001.vnnlib,1200,unsat False,0.09249328076839447,0,637.2061235904694,642.4873802661896,0
